Schooljaar;Schoolcode;tSchool;Type data;Geslacht;Bouw;Leerjaar;Profiel;Aantal leerlingen;Aantal leerlingen vj;tAantal verhuizers;tAantal afstromers;tAantal overleden;Aantal bevorderd;Aantal geslaagd
18-19;;SHZG;Benchmark;Man;Bovenbouw;4;Profielcombinatie NGCM;1;;;;;1;
18-19;;SHZG;Benchmark;Vrouw;Bovenbouw;5;Profielcombinatie NGCM;3;;;;;2;
18-19;;SHZG;Benchmark;Man;Bovenbouw;5;Profielcombinatie NTEM;1;;;;;1;
18-19;;SHZG;Benchmark;Vrouw;Bovenbouw;4;Profielcombinatie NGCM;6;;;;;6;
18-19;;SHZG;Benchmark;Man;Bovenbouw;4;Profielcombinatie NGEM;2;;;;;1;
18-19;;SHZG;Benchmark;Man;Bovenbouw;6;Profielcombinatie NTEM;1;;;0;;;1
18-19;;SHZG;Benchmark;Vrouw;Bovenbouw;6;Profielcombinatie NTEM;1;;;0;;;1
18-19;;SHZG;Benchmark;Vrouw;Bovenbouw;6;Profielcombinatie NTCM;1;;;0;;;1
18-19;;SHZG;Benchmark;Vrouw;Bovenbouw;6;Profielcombinatie NGEM;2;;;0;;;2
18-19;;SHZG;Benchmark;Man;Bovenbouw;6;Profielcombinatie NGEM;3;;;0;;;3
18-19;;SHZG;Benchmark;Man;Bovenbouw;6;Profielcombinatie NGCM;2;;;0;;;2
18-19;;SHZG;Benchmark;Man;Bovenbouw;6;Profielcombinatie NTCM;1;;;0;;;1
18-19;;SHZG;Benchmark;Vrouw;Bovenbouw;4;Profielcombinatie NTEM;1;;;1;;;
18-19;;SHZG;Benchmark;Man;Bovenbouw;5;Profielcombinatie NGCM;2;;;1;;;
18-19;;SHZG;Benchmark;Vrouw;Bovenbouw;6;Profielcombinatie NGCM;6;;;1;;;4
18-19;;SHZG;Benchmark;Vrouw;Bovenbouw;5;Profielcombinatie NTNG;301;;1;4;;273;
18-19;;SHZG;Benchmark;Vrouw;Bovenbouw;5;Profielcombinatie EMCM;203;;1;5;;185;
18-19;;SHZG;Benchmark;Man;Bovenbouw;5;Cultuur en Maatschappij;141;;;5;;123;
18-19;;SHZG;Benchmark;Vrouw;Bovenbouw;4;Profielcombinatie EMCM;327;;3;6;1;301;
18-19;;SHZG;Benchmark;Man;Bovenbouw;4;Cultuur en Maatschappij;76;;;7;;65;
18-19;;SHZG;Benchmark;Man;Bovenbouw;5;Profielcombinatie NTNG;359;;;7;;336;
18-19;;SHZG;Benchmark;Man;Bovenbouw;4;Profielcombinatie NTNG;467;;;8;;429;
18-19;;SHZG;Benchmark;Man;Bovenbouw;5;Profielcombinatie EMCM;249;;3;8;;211;
18-19;;SHZG;Benchmark;Vrouw;Bovenbouw;5;Economie en Maatschappij;488;;;8;;453;
18-19;;SHZG;Benchmark;Vrouw;Bovenbouw;5;Natuur en Techniek;559;;;9;;531;
18-19;;SHZG;Benchmark;Vrouw;Bovenbouw;4;Economie en Maatschappij;398;;2;9;;381;
18-19;;SHZG;Benchmark;Vrouw;Bovenbouw;4;Natuur en Techniek;505;;1;9;;481;
18-19;;SHZG;Benchmark;Man;Bovenbouw;4;Economie en Maatschappij;517;;1;11;;478;
18-19;;SHZG;Benchmark;Man;Bovenbouw;6;Cultuur en Maatschappij;124;;;11;;;111
18-19;;SHZG;Benchmark;Vrouw;Bovenbouw;4;Cultuur en Maatschappij;249;;;11;;232;
18-19;;SHZG;Benchmark;Vrouw;Bovenbouw;6;Natuur en Techniek;346;;;11;;;324
18-19;;SHZG;Benchmark;Vrouw;Bovenbouw;4;Profielcombinatie NTNG;432;;1;11;;403;
18-19;;SHZG;Benchmark;Man;Bovenbouw;4;Profielcombinatie EMCM;399;;2;12;;360;
18-19;;SHZG;Benchmark;Vrouw;Bovenbouw;6;Profielcombinatie EMCM;373;;;13;;;349
18-19;;SHZG;Benchmark;Vrouw;Bovenbouw;6;Profielcombinatie NTNG;632;;;14;;;602
18-19;;SHZG;Benchmark;Vrouw;Bovenbouw;5;Cultuur en Maatschappij;320;;;15;;283;
18-19;;SHZG;Benchmark;Man;Bovenbouw;6;Natuur en Techniek;635;;;16;;;609
18-19;;SHZG;Benchmark;Man;Bovenbouw;5;Economie en Maatschappij;613;;1;16;;551;
18-19;;SHZG;Benchmark;Man;Bovenbouw;6;Profielcombinatie NTNG;656;;;18;;;623
18-19;;SHZG;Benchmark;Man;Bovenbouw;4;Natuur en Gezondheid;410;;1;18;;354;
18-19;;SHZG;Benchmark;Vrouw;Bovenbouw;4;Natuur en Gezondheid;646;;1;19;;592;
18-19;;SHZG;Benchmark;Vrouw;Bovenbouw;6;Cultuur en Maatschappij;325;;;19;;;282
18-19;;SHZG;Benchmark;Vrouw;Bovenbouw;6;Economie en Maatschappij;260;;;21;;;227
18-19;;SHZG;Benchmark;Man;Bovenbouw;4;Natuur en Techniek;820;;5;22;;741;
18-19;;SHZG;Benchmark;Vrouw;Bovenbouw;5;Natuur en Gezondheid;755;;;23;;685;
18-19;;SHZG;Benchmark;Man;Bovenbouw;6;Natuur en Gezondheid;348;;;24;;;304
18-19;;SHZG;Benchmark;Man;Bovenbouw;5;Natuur en Techniek;932;;;27;;840;
18-19;;SHZG;Benchmark;Man;Bovenbouw;6;Economie en Maatschappij;347;;1;27;;;296
18-19;;SHZG;Benchmark;Man;Bovenbouw;5;Natuur en Gezondheid;495;;;29;;411;
18-19;;SHZG;Benchmark;Man;Bovenbouw;6;Profielcombinatie EMCM;444;;;32;;;384
18-19;;SHZG;Benchmark;Vrouw;Bovenbouw;6;Natuur en Gezondheid;545;;;38;1;;481
18-19;;SHZG;Benchmark;Vrouw;Onderbouw;3;;2768;;15;115;;2554;
18-19;;SHZG;Benchmark;Vrouw;Onderbouw;1;;2753;;8;121;;2583;
18-19;;SHZG;Benchmark;Man;Onderbouw;3;;2800;;5;181;;2481;
18-19;;SHZG;Benchmark;Vrouw;Onderbouw;2;;2791;;18;198;;2473;
18-19;;SHZG;Benchmark;Man;Onderbouw;1;;3117;;24;229;;2775;
18-19;;SHZG;Benchmark;Man;Onderbouw;2;;2968;;21;289;1;2490;
19-20;;SHZG;Benchmark;Man;Bovenbouw;5;Profielcombinatie NTEM;3;1;;;;3;
19-20;;SHZG;Benchmark;Vrouw;Bovenbouw;6;Profielcombinatie NGEM;;2;;;;;
19-20;;SHZG;Benchmark;Vrouw;Bovenbouw;5;Profielcombinatie NTCM;1;;;;;1;
19-20;;SHZG;Benchmark;Man;Bovenbouw;4;Profielcombinatie NGEM;12;2;;;;11;
19-20;;SHZG;Benchmark;Vrouw;Bovenbouw;4;Profielcombinatie NTEM;3;1;;;;3;
19-20;;SHZG;Benchmark;Vrouw;Bovenbouw;4;Profielcombinatie NGEM;6;;;;;6;
19-20;;SHZG;Benchmark;Vrouw;Bovenbouw;4;Profielcombinatie NGCM;11;6;;;;11;
19-20;;SHZG;Benchmark;Man;Bovenbouw;5;Profielcombinatie NGCM;1;2;;;;1;
19-20;;SHZG;Benchmark;Man;Bovenbouw;5;Profielcombinatie NGEM;5;;;;;5;
19-20;;SHZG;Benchmark;Vrouw;Bovenbouw;5;Profielcombinatie NGCM;5;3;;;;4;
19-20;;SHZG;Benchmark;Man;Bovenbouw;4;Profielcombinatie NTEM;2;;;;;2;
19-20;;SHZG;Benchmark;Man;Bovenbouw;4;Profielcombinatie NGCM;6;1;1;0;;5;
19-20;;SHZG;Benchmark;Man;Bovenbouw;6;Profielcombinatie NGCM;4;2;;0;;;4
19-20;;SHZG;Benchmark;Vrouw;Bovenbouw;6;Profielcombinatie NTEM;1;1;;0;;;1
19-20;;SHZG;Benchmark;Vrouw;Bovenbouw;6;Profielcombinatie NTCM;1;1;;0;;;1
19-20;;SHZG;Benchmark;Vrouw;Bovenbouw;6;Profielcombinatie NGCM;11;6;;0;;;10
19-20;;SHZG;Benchmark;Man;Bovenbouw;6;Profielcombinatie NGEM;3;3;;0;;;3
19-20;;SHZG;Benchmark;Man;Bovenbouw;6;Profielcombinatie NTCM;4;1;;0;;;4
19-20;;SHZG;Benchmark;Man;Bovenbouw;6;Profielcombinatie NTEM;4;1;;0;;;4
19-20;;SHZG;Benchmark;Vrouw;Bovenbouw;5;Profielcombinatie NTNG;373;301;2;2;;355;
19-20;;SHZG;Benchmark;Vrouw;Bovenbouw;6;Economie en Maatschappij;171;260;;3;;;165
19-20;;SHZG;Benchmark;Vrouw;Bovenbouw;6;Cultuur en Maatschappij;355;325;;3;;;350
19-20;;SHZG;Benchmark;Vrouw;Bovenbouw;6;Natuur en Techniek;185;346;;3;;;177
19-20;;SHZG;Benchmark;Man;Bovenbouw;4;Cultuur en Maatschappij;167;76;;3;;161;
19-20;;SHZG;Benchmark;Man;Bovenbouw;5;Cultuur en Maatschappij;121;141;;4;;111;
19-20;;SHZG;Benchmark;Vrouw;Bovenbouw;6;Profielcombinatie EMCM;506;373;;4;;;500
