code;tSchool;Schoolnaam;Adres;Postcode;Woonplaats;Telefoon;E-mail adres;Homepage
13554-20RM-000;07. 13554-20RM-000;Stedelijk Gymnasium Arnhem;Thorbeckestraat 17;6828TS;Arnhem;026 3209840;administratie@gymnasiumarnhem.nl;http://www.gymnasiumarnhem.nl
13556-02DW-000;21. 13556-02DW-000;Gymnasium Bernrode;Abdijstraat 36;5473AG;Heeswijk-Dinther;0413291342;administratie@bernrode.nl;http://www.bernrode.nl
13556-20AJ-000;22. 13556-20AJ-000;Stedelijk Gymnasium;Mercatorplein 2;5223LL;Den Bosch;0736219068;info@sgdb.nl;http://www.sgdb.nl
13556-20DG-000;37. 13556-20DG-000;Gymnasium Felisenum;Van Hogendorplaan 2;1981EE;Velsen-Zuid;0255545710;info@felisenum.nl;http://www.felisenum.nl
13556-20QY-000;19. 13556-20QY-000;Stedelijk Gymnasium Haarlem;Prinsenhof 3;2011TR;Haarlem;0235125353;administratie@sghaarlem.nl;http://www.sghaarlem.nl
13556-21AB-000;03. 13556-21AB-000;Barlaeus Gymnasium;Weteringschans 31;1017RV;Amsterdam;0206263396;mbosman@barlaeus.nl;http://www.barlaeus.nl
13556-21AF-000;05. 13556-21AF-000;Vossius Gymnasium;Messchaertstraat 1;1077WS;Amsterdam;0206620934;vossius@vossius.nl;http://www.vossius.nl
13603-20DL-002;26. 13603-20DL-002;Stedelijk Gymnasium, school van OSG Piter Jelles;Noorderweg 1;8911ES;Leeuwarden;0588801200;gymnasium@pj.nl;http://www.piterjelles.nl/stedelijkgymnasium
13652-20AA-000;01. 13652-20AA-000;Murmellius Gymnasium;Bergerhout 1;1815DA;Alkmaar;0725272072;info@Murmellius.nl;http://www.murmellius.nl
13749-20DD-000;23. 13749-20DD-000;Gemeentelijk Gymnasium Hilversum;Vaartweg 54;1217SV;Hilversum;035-6241181;info@ggh.nu;http://www.gymnasiumhilversum.nl
20151-14QT-000;32. 20151-14QT-000;Marnix Gymnasium;Essenburgsingel 58;3022EA;Rotterdam;0102445044;administratie@marnixgymnasium.nl;https://www.marnixgymnasium.nl
42992-03AM-000;09. 42992-03AM-000;Stedelijk Gymnasium Breda;Nassausingel 7;4811DE;Breda;0765225040;administratie@gymnasiumbreda.nl;http://www.gymnasiumbreda.nl
31240-02CR-000;18. 31240-02CR-000;Willem Lodewijk Gymnasium;Verzetsstrijderslaan 220;9727 CK;Groningen;0505262094;info@wlg.nl;http://www.wlg.nl
33944-02DQ-000;16. 33944-02DQ-000;Christelijk Gymnasium Sorghvliet;Johan de Wittlaan 22;2517JR;Den Haag;0703451577;administratie@gymnasium-sorghvliet.nl;http://www.gymnasium-sorghvliet.nl
40094-16PA-000;35. 40094-16PA-000;Christelijk Gymnasium Utrecht;Koningsbergerstraat 2;3531AJ;Utrecht;0302843000;mail@cgu.nl;http://www.cgu.nl
42621-14RF-006;43. 42621-14RF-006;Cygnus Gymnasium;Vrolikstraat 8;1091VG;Amsterdam;020 4688880;info@cygnusgymnasium.nl;http://www.cygnusgymnasium.nl
40776-01ET-000;04. 40776-01ET-000;Sint Ignatiusgymnasium;Jan van Eijckstraat 47 ;1077LH;Amsterdam;0206763868;info@ignatius.nl;http://www.ignatius.nl
40996-04DS-000;34. 40996-04DS-000;Gymnasium Trevianum;Bradleystraat 25;6135CV;Sittard;0464206900;informatie@trevianum.nl;http://www.gymnasium-trevianum.nl
41208-20CK-000;02. 41208-20CK-000;Joh van Oldenbarnevelt Gymnasium;Thorbeckeplein 1;3818JL;Amersfoort;0334613944;info@jvo.nl;http://www.jvo.nl
41211-17JY-000;28. 41211-17JY-000;Gymnasium Beekvliet;Beekvlietstraat 4;5271SM;Sint-Michielsgestel;073-5512213;beekvliet@gymnasiumbeekvliet.nl;http://www.gymnasiumbeekvliet.nl
41285-20CI-000;29. 41285-20CI-000;Stedelijk Gymnasium Nijmegen;Kronenburgersingel 269;6511AS;Nijmegen;0243220606;info@stedelijkgymnijmegen.nl;http://www.stedelijkgymnijmegen.nl
41347-14WI-000;25. 41347-14WI-000;Chr. Gymnasium Beyers Naudé;Gymnasiumstraat 36;8932GW;Leeuwarden;0582124471;info@cgbn.nl;https://www.beyersnaude.nl/
41360-20LU-000;15. 41360-20LU-000;Gymnasium Haganum;Laan van Meerdervoort 57;2517AG;Den Haag;0703469243;haganum@haganum.nl;http://www.haganum.nl
41386-19ZU-000;13. 41386-19ZU-000;Gymnasium Camphusianum;Vroedschapstraat 11;4204AJ;Gorinchem;0183622388;info@camphusianum.nl;http://www.camphusianum.nl
41475-15JM-000;36. 41475-15JM-000;Utrechts Stedelijk Gymnasium;Ina Boudier Bakkerlaan 7;3582 VA;Utrecht;030 2122199;info@usgym.nl;http://www.usgym.nl/
41513-20KZ-000;11. 41513-20KZ-000;Johan de Witt-gymnasium;Oranjepark 11;3311LP;Dordrecht;0786482626;info@jdw.nl;http://www.jdw.nl
41525-20AI-000;14. 41525-20AI-000;Coornhert Gymnasium;Jan van Renesseplein 1;2805GT;Gouda;0182599517;info@coornhert-gymnasium.nl;http://www.coornhert-gymnasium.nl
41568-20DC-000;33. 41568-20DC-000;Stedelijk Gymnasium Schiedam;Valeriusstraat 31;3122AM;Schiedam;0102470468;info@stgs.nl;http://www.stgs.nl
41775-15SC-000;31. 41775-15SC-000;Erasmiaans Gymnasium;Wytemaweg 25;3015CN;Rotterdam;0104360045;info@erasmiaans.nl;https://www.erasmiaans.nl
42818-20QU-000;06. 42818-20QU-000;Gymnasium Apeldoorn;Kastanjelaan 10;7316BN;Apeldoorn;0555213024;info@gymnasium-apeldoorn.nl;http://www.gymnasium-apeldoorn.nl
42505-20DP-000;27. 42505-20DP-000;Stedelijk Gymnasium Leiden (locatie Athena);Fruinlaan 15;2313EP;Leiden;071-5121365;stedelijk@gymnasiumleiden.nl;http://www.gymnasiumleiden.nl
42510-20BV-000;17. 42510-20BV-000;Praedinius Gymnasium;Turfsingel 82;9711VX;Groningen;0503210530;info.praedinius@o2g2.nl;http://www.praedinius.nl
41211-02FY-007;08. 41211-02FY-007;MollerJuvenaat;Noordzijde Zoom 61;4613AB;Bergen op Zoom;0164241550;info@mollerjuvenaat.nl;http://www.mollerjuvenaat.nl
42992-02QO-000;30. 42992-02QO-000;Sint-Oelbertgymnasium;Warandelaan 3;4904PA;Oosterhout;0162447474;info@oelbert.nl;http://www.oelbert.nl
40856-02QP-000;10. 40856-02QP-000;Willibrord Gymnasium;Beukenstraat 80;5753GD;Deurne;0493314802;info@willibrordgymnasium.nl;http://www.willibrordgymnasium.nl
40586-30GC-000;42. 40586-30GC-000;Het 4e Gymnasium;Archangelweg 4;1013ZZ;Amsterdam;020 - 584 90 10;info@het4egymnasium.nl;https://het4egymnasium.nl
42505-30GD-000;27. 42505-30GD-000;Stedelijk Gymnasium Leiden (locatie Socrates);Nieuwe Marnixstraat 90;2316 ES;Leiden;071-5121365;stedelijk@gymnasiumleiden.nl;http://www.gymnasiumleiden.nl
42620-01FP-004;41. 42620-01FP-004;Trinitas Gymnasium;Sas van Gentlaan 61324 CT Almere;1324CT;Almere;036-8452400;trinitasgymnasium@hetbaken.nl;http://www.trinitasgymnasium.nl
42623-20CF-000;38. 42623-20CF-000;Gymnasium Celeanum;Zoom 37;8032EM;Zwolle;0384552820;administratie@celeanum.nl;http://www.celeanum.nl
