Type data;tSchool;Schooljaar;Voorlopig definitief;Vak omschrijving;Aantal vak deelnemers;tCentraal examen;tSchoolexamen;tVerschilSeCe;Percentiel ce;Percentiel se;Percentiel sece
School;07. 13554-20RM-000;17-18;Definitief;Totaal;159;6886832;6847891;-83145;74;48;86
School;07. 13554-20RM-000;17-18;Definitief;Aardrijkskunde;67;6913432;6995522;82089;96;89;67
School;07. 13554-20RM-000;17-18;Definitief;Biologie;92;6543478;6671739;128260;65;41;72
School;07. 13554-20RM-000;17-18;Definitief;Duits;26;7469230;7146153;-323076;100;84;91
School;07. 13554-20RM-000;17-18;Definitief;Economie;76;6492105;6913157;421052;48;91;22
School;07. 13554-20RM-000;17-18;Definitief;Engels;159;7347169;7078616;-268553;48;31;72
School;07. 13554-20RM-000;17-18;Definitief;Filosofie;56;6874999;7192857;317857;60;66;40
School;07. 13554-20RM-000;17-18;Definitief;Frans;43;7358139;6925581;-432558;93;36;98
School;07. 13554-20RM-000;17-18;Definitief;Geschiedenis;78;6899999;6987179;87179;79;74;58
School;07. 13554-20RM-000;17-18;Definitief;Grieks;51;6380392;6849019;468627;41;62;34
School;07. 13554-20RM-000;17-18;Definitief;Latijn;112;6170535;6191071;20535;43;29;60
School;07. 13554-20RM-000;17-18;Definitief;Maatschappijleer;159;;7125786;;;50;
School;07. 13554-20RM-000;17-18;Definitief;Natuur, leven en technologie;30;;7333333;;;73;
School;07. 13554-20RM-000;17-18;Definitief;Natuurkunde;94;7307446;6501063;-806382;89;22;96
School;07. 13554-20RM-000;17-18;Definitief;Nederlands;159;6490566;6669811;179245;74;34;74
School;07. 13554-20RM-000;17-18;Definitief;Scheikunde;96;6871875;6778125;-93750;70;58;65
School;07. 13554-20RM-000;17-18;Definitief;Spaanse taal en literatuur;46;6967391;6556521;-410869;50;34;50
School;07. 13554-20RM-000;17-18;Definitief;Tekenen;15;7613333;7373333;-240000;100;72;86
School;07. 13554-20RM-000;17-18;Definitief;Wiskunde A;67;7270149;7020895;-249253;93;93;53
School;07. 13554-20RM-000;17-18;Definitief;Wiskunde B;89;7366292;6831460;-534831;53;60;62
School;07. 13554-20RM-000;17-18;Definitief;Wiskunde C;3;6500000;7233333;733333;64;95;25
School;07. 13554-20RM-000;18-19;Definitief;Totaal;171;6596888;6494944;-129844;29;3;84
School;07. 13554-20RM-000;18-19;Definitief;Aardrijkskunde;62;5825806;6446774;620967;3;29;8
School;07. 13554-20RM-000;18-19;Definitief;Biologie;90;6224444;6342222;117777;29;12;65
School;07. 13554-20RM-000;18-19;Definitief;Duits;41;7004878;6973170;-31707;86;65;65
School;07. 13554-20RM-000;18-19;Definitief;Economie;90;6315555;6212222;-103333;39;12;70
School;07. 13554-20RM-000;18-19;Definitief;Engels;171;7370760;6938596;-432163;43;17;81
School;07. 13554-20RM-000;18-19;Definitief;Filosofie;48;6545833;6810416;264583;20;31;42
School;07. 13554-20RM-000;18-19;Definitief;Frans;59;7305084;6759322;-545762;79;22;96
School;07. 13554-20RM-000;18-19;Definitief;Geschiedenis;84;6117857;6277380;159523;15;10;70
School;07. 13554-20RM-000;18-19;Definitief;Grieks;55;6483636;5945454;-538181;48;5;93
School;07. 13554-20RM-000;18-19;Definitief;Informatica;1;;7800000;;;100;
School;07. 13554-20RM-000;18-19;Definitief;Latijn;121;5934710;6376859;442148;8;43;8
School;07. 13554-20RM-000;18-19;Definitief;Maatschappijleer;171;;6713450;;;12;
School;07. 13554-20RM-000;18-19;Definitief;Natuur, leven en technologie;36;;6516666;;;6;
School;07. 13554-20RM-000;18-19;Definitief;Natuurkunde;95;6859999;6181052;-678947;48;10;91
School;07. 13554-20RM-000;18-19;Definitief;Nederlands;171;6497076;6260233;-236842;60;3;98
School;07. 13554-20RM-000;18-19;Definitief;Scheikunde;98;6604081;6607142;3061;31;31;39
School;07. 13554-20RM-000;18-19;Definitief;Spaanse taal en literatuur;43;6955813;6600000;-355813;60;20;60
School;07. 13554-20RM-000;18-19;Definitief;Tekenen;14;7071428;7235714;164285;58;58;86
School;07. 13554-20RM-000;18-19;Definitief;Wiskunde A;77;6749350;6455844;-293506;34;24;60
School;07. 13554-20RM-000;18-19;Definitief;Wiskunde B;94;6629787;6357446;-272340;22;17;43
School;07. 13554-20RM-000;18-19;Definitief;Wiskunde C;1;5900000;5800000;-100000;52;12;86
School;07. 13554-20RM-000;19-20;Definitief;Totaal;169;;6714428;;;12;
School;07. 13554-20RM-000;19-20;Definitief;Aardrijkskunde;74;;6605405;;;41;
School;07. 13554-20RM-000;19-20;Definitief;Biologie;88;;6588636;;;41;
School;07. 13554-20RM-000;19-20;Definitief;Duits;40;;6562500;;;24;
School;07. 13554-20RM-000;19-20;Definitief;Economie;96;;6484374;;;41;
School;07. 13554-20RM-000;19-20;Definitief;Engels;169;;6969230;;;12;
School;07. 13554-20RM-000;19-20;Definitief;Filosofie;48;;6672916;;;14;
School;07. 13554-20RM-000;19-20;Definitief;Frans;54;;7164814;;;70;
School;07. 13554-20RM-000;19-20;Definitief;Geschiedenis;94;;6670212;;;31;
School;07. 13554-20RM-000;19-20;Definitief;Grieks;51;;7050980;;;86;
School;07. 13554-20RM-000;19-20;Definitief;Latijn;122;;6010655;;;12;
School;07. 13554-20RM-000;19-20;Definitief;Maatschappijleer;169;;6870414;;;24;
School;07. 13554-20RM-000;19-20;Definitief;Natuur, leven en technologie;31;;7183870;;;48;
School;07. 13554-20RM-000;19-20;Definitief;Natuurkunde;85;;6897647;;;74;
School;07. 13554-20RM-000;19-20;Definitief;Nederlands;169;;6677514;;;22;
School;07. 13554-20RM-000;19-20;Definitief;Scheikunde;86;;6839534;;;65;
School;07. 13554-20RM-000;19-20;Definitief;Spaanse taal en literatuur;42;;6528571;;;20;
School;07. 13554-20RM-000;19-20;Definitief;Tekenen;13;;7184615;;;58;
School;07. 13554-20RM-000;19-20;Definitief;Wiskunde A;81;;6618518;;;43;
School;07. 13554-20RM-000;19-20;Definitief;Wiskunde B;82;;6731707;;;24;
School;07. 13554-20RM-000;19-20;Definitief;Wiskunde C;6;;6616666;;;69;
School;07. 13554-20RM-000;19-20;Definitief;Wiskunde D;1;;9100000;;;100;
School;07. 13554-20RM-000;20-21;Definitief;Totaal;146;6663009;6613232;-39484;46;5;89
School;07. 13554-20RM-000;20-21;Definitief;Aardrijkskunde;41;6558536;6439024;-119512;39;22;72
School;07. 13554-20RM-000;20-21;Definitief;Biologie;81;6227160;6469135;241975;34;12;67
School;07. 13554-20RM-000;20-21;Definitief;Duits;38;6831578;6739473;-92105;53;29;67
School;07. 13554-20RM-000;20-21;Definitief;Economie;76;6344736;6356578;11842;86;24;96
School;07. 13554-20RM-000;20-21;Definitief;Engels;146;7293835;6681506;-612328;29;8;91
School;07. 13554-20RM-000;20-21;Definitief;Filosofie;52;6830769;6842307;11538;56;31;70
School;07. 13554-20RM-000;20-21;Definitief;Frans;33;7560606;6939393;-621212;89;36;100
School;07. 13554-20RM-000;20-21;Definitief;Geschiedenis;82;6699999;6734146;34146;50;36;67
School;07. 13554-20RM-000;20-21;Definitief;Grieks;54;6007407;6505555;498148;24;50;34
School;07. 13554-20RM-000;20-21;Definitief;Informatica;2;;9500000;;;100;
School;07. 13554-20RM-000;20-21;Definitief;Latijn;96;5882291;6538541;656249;58;65;36
School;07. 13554-20RM-000;20-21;Definitief;Maatschappijleer;146;;6397260;;;3;
School;07. 13554-20RM-000;20-21;Definitief;Natuur, leven en technologie;31;;6967741;;;32;
School;07. 13554-20RM-000;20-21;Definitief;Natuurkunde;81;6790123;6580246;-209876;46;24;67
School;07. 13554-20RM-000;20-21;Definitief;Nederlands;146;6506849;6416438;-90410;34;3;91
Benchmark;SHZG;18-19;Definitief;Kunst (algemeen);15;6906666;;;;;
Benchmark;SHZG;18-19;Definitief;Kunst (beeldende vormgeving);409;6573955;7500244;926044;;;
Benchmark;SHZG;18-19;Definitief;Kunst (drama);158;6301973;7426582;1116447;;;
Benchmark;SHZG;18-19;Definitief;Kunst (muziek);32;6246666;7315625;1003333;;;
Benchmark;SHZG;18-19;Definitief;Latijn;3672;6647739;6468464;-179275;;;
Benchmark;SHZG;18-19;Definitief;Levensbeschouwelijk vormingsonderwijs;506;;7413241;;;;
Benchmark;SHZG;18-19;Definitief;Literatuur;112;;7500000;;;;
Benchmark;SHZG;18-19;Definitief;Maatschappijleer;4961;;7198347;;;;
Benchmark;SHZG;18-19;Definitief;Maatschappijwetenschappen;137;6781751;6732116;-49635;;;
Benchmark;SHZG;18-19;Definitief;Management en organisatie;376;6175265;6671276;496010;;;
Benchmark;SHZG;18-19;Definitief;Muziek;151;6611920;7392052;780132;;;
Benchmark;SHZG;18-19;Definitief;Natuur, leven en technologie;397;;7122166;;;;
Benchmark;SHZG;18-19;Definitief;Natuurkunde;2982;6903185;6732562;-170623;;;
Benchmark;SHZG;18-19;Definitief;Nederlands;4965;6490735;6826868;336132;;;
Benchmark;SHZG;18-19;Definitief;Onderzoek en ontwerpen (beschikking 2007);51;;7286274;;;;
