Type data;tSchool;Schooljaar;Voorlopig definitief;Profiel;Examenkandidaten;Geslaagden;Gezakten;Slaagpercentage;tCentraal examen;tSchoolexamen;tCijferlijst;Percentiel slaag;Percentiel ce;Percentiel se
School;04. 40776-01ET-000;23-24;Definitief;Cultuur en Maatschappij;10;8;;80;6900000;6900000;7000000;12;85;87
School;04. 40776-01ET-000;23-24;Definitief;Economie en Maatschappij;13;13;0;100;6600000;6600000;6600000;76;68;76
School;04. 40776-01ET-000;23-24;Definitief;Economie en Maatschappij / Cultuur en Maatschappij;19;18;;95;6600000;6700000;6700000;77;43;63
School;04. 40776-01ET-000;23-24;Definitief;Natuur en Gezondheid;17;15;;88;6700000;6600000;6700000;56;84;80
School;04. 40776-01ET-000;23-24;Definitief;Natuur en Techniek;10;7;;70;7000000;6700000;6900000;2;33;22
School;04. 40776-01ET-000;23-24;Definitief;Natuur en Techniek / Natuur en Gezondheid;41;40;;98;7300000;7000000;7200000;74;83;57
School;41. 42620-01FP-004;23-24;Definitief;Cultuur en Maatschappij;5;;;;6100000;6200000;6400000;;6;4
School;41. 42620-01FP-004;23-24;Definitief;Economie en Maatschappij;14;11;;79;6300000;6100000;6400000;18;26;15
School;41. 42620-01FP-004;23-24;Definitief;Economie en Maatschappij / Cultuur en Maatschappij;12;11;;92;6300000;6600000;6700000;60;13;42
School;41. 42620-01FP-004;23-24;Definitief;Natuur en Gezondheid;13;11;;85;6300000;6300000;6500000;38;33;34
School;41. 42620-01FP-004;23-24;Definitief;Natuur en Techniek;10;10;0;100;7200000;6700000;7200000;65;59;22
School;41. 42620-01FP-004;23-24;Definitief;Natuur en Techniek / Natuur en Gezondheid;22;20;;91;6800000;6600000;6900000;15;13;4
School;18. 31240-02CR-000;23-24;Definitief;Cultuur en Maatschappij;17;16;;94;6800000;6800000;7000000;62;77;74
School;18. 31240-02CR-000;23-24;Definitief;Economie en Maatschappij / Cultuur en Maatschappij;27;24;;89;6800000;6800000;6900000;45;63;80
School;18. 31240-02CR-000;23-24;Definitief;Natuur en Gezondheid;22;19;;86;6500000;6600000;6800000;45;57;80
School;18. 31240-02CR-000;23-24;Definitief;Natuur en Techniek;10;10;0;100;7100000;6700000;7000000;65;48;22
School;18. 31240-02CR-000;23-24;Definitief;Natuur en Techniek / Natuur en Gezondheid;26;25;;96;7400000;7300000;7500000;61;94;96
School;16. 33944-02DQ-000;23-24;Definitief;Cultuur en Maatschappij;11;10;;91;6600000;6500000;6500000;49;51;28
School;16. 33944-02DQ-000;23-24;Definitief;Economie en Maatschappij;6;5;;83;6600000;6500000;6600000;32;68;53
School;16. 33944-02DQ-000;23-24;Definitief;Economie en Maatschappij / Cultuur en Maatschappij;19;18;;95;7100000;7100000;7100000;77;94;96
School;16. 33944-02DQ-000;23-24;Definitief;Natuur en Gezondheid;14;14;0;100;7100000;6800000;6900000;88;99;98
School;16. 33944-02DQ-000;23-24;Definitief;Natuur en Techniek;7;7;0;100;7500000;7000000;7200000;65;75;56
School;16. 33944-02DQ-000;23-24;Definitief;Natuur en Techniek / Natuur en Gezondheid;46;46;0;100;7200000;7000000;7100000;90;67;57
School;21. 13556-02DW-000;23-24;Definitief;Cultuur en Maatschappij;15;13;;87;6200000;6600000;6400000;34;13;44
School;21. 13556-02DW-000;23-24;Definitief;Economie en Maatschappij / Cultuur en Maatschappij;9;7;;78;6000000;6100000;6100000;6;4;1
School;21. 13556-02DW-000;23-24;Definitief;Natuur en Gezondheid;16;13;;81;6300000;6300000;6400000;25;33;34
School;21. 13556-02DW-000;23-24;Definitief;Natuur en Techniek;7;7;0;100;7000000;6900000;7000000;65;33;42
School;21. 13556-02DW-000;23-24;Definitief;Natuur en Techniek / Natuur en Gezondheid;33;30;;91;7000000;6900000;7000000;15;31;33
School;08. 41211-02FY-007;23-24;Definitief;Economie en Maatschappij / Cultuur en Maatschappij;16;14;;88;6700000;7200000;7100000;39;52;99
School;08. 41211-02FY-007;23-24;Definitief;Natuur en Techniek;6;6;0;100;7100000;7100000;7100000;65;48;67
School;08. 41211-02FY-007;23-24;Definitief;Natuur en Techniek / Natuur en Gezondheid;19;17;;89;6700000;7000000;6900000;8;8;57
School;30. 42992-02QO-000;23-24;Definitief;Cultuur en Maatschappij;32;29;;91;6300000;6500000;6600000;49;21;28
School;30. 42992-02QO-000;23-24;Definitief;Economie en Maatschappij / Cultuur en Maatschappij;21;19;;90;6400000;6700000;6700000;51;20;63
