Type data;tSchool;Aantal herkomst postcodes;Totaal leerlingen (geteld);Bevolking voedingsgebied;Huishoudens voedingsgebied;Gem huishoudensgrootte;Pct 0-14 jaar;Pct 15-24 jaar;Pct 25-44 jaar;Pct 45-64 jaar;Pct 65+ jaar;Pct migratie-achtergrond;Pct westers;Pct niet-westers;SES-WOA totaalscore;Inkomen gem percentielgroep;Pct inkomen P80-100;Vermogen gem percentielgroep;Welvaart gem percentielgroep;Pct koopwoning;Stedelijkheid
School;01. 13652-20AA-000;38;563;278520;128595;2,14;14,7;11,1;23,1;27,3;23,7;19,8;9,5;10,4;0,16;55,8;24,7;59,0;58,0;65,3;2,5
School;02. 41208-20CK-000;38;861;345390;150970;2,25;16,8;11,5;25,0;26,9;19,8;20,7;8,5;12,2;0,26;59,5;30,6;60,1;61,2;66,1;2,3
School;03. 13556-21AB-000;52;718;707615;389245;1,79;12,7;12,7;37,0;23,3;14,4;52,8;22,6;30,1;0,15;55,9;32,9;47,5;54,9;35,4;1,1
School;04. 40776-01ET-000;44;686;606585;336055;1,77;12,4;12,9;36,0;23,7;14,9;51,5;23,7;27,8;0,21;58,7;36,3;51,9;58,6;40,5;1,2
School;05. 13556-21AF-000;52;755;722420;397305;1,79;12,7;13,1;36,5;23,4;14,4;53,7;23,0;30,7;0,19;57,7;35,0;50,4;57,4;39,4;1,2
School;06. 42818-20QU-000;30;497;203230;92485;2,15;14,8;11,0;23,3;27,1;23,8;18,6;8,5;10,1;0,16;55,7;24,4;56,8;56,6;67,0;2,6
School;07. 13554-20RM-000;37;581;264535;127050;2,03;14,8;12,0;26,0;26,8;20,4;26,4;10,8;15,7;0,08;53,1;23,8;51,2;52,7;55,9;2,5
School;08. 41211-02FY-007;24;648;122780;55625;2,17;14,5;10,6;23,6;27,7;23,7;22,9;11,7;11,2;0,06;52,3;20,0;52,8;52,1;66,3;3,0
School;09. 42992-03AM-000;29;663;240230;114555;2,06;14,5;13,0;26,0;26,1;20,4;22,6;11,4;11,2;0,24;58,6;30,1;59,3;60,5;66,0;2,4
School;10. 40856-02QP-000;19;276;131240;57035;2,27;15,0;11,1;23,9;27,9;22,1;17,3;10,6;6,7;0,13;53,1;19,7;58,6;55,7;71,1;3,6
School;11. 41513-20KZ-000;34;735;308590;137160;2,21;16,1;11,5;25,0;26,3;21,2;24,5;9,6;14,9;0,1;54,2;22,8;52,6;53,3;63,9;2,0
School;13. 41386-19ZU-000;35;523;176340;74395;2,33;16,7;11,8;24,7;25,8;20,9;16,3;6,8;9,5;0,15;55,2;23,5;54,9;55,3;62,9;3,4
School;14. 41525-20AI-000;25;542;241640;104275;2,29;17,1;11,6;25,2;26,1;20,0;21,4;8,5;13,0;0,14;55,0;24,1;55,0;55,3;62,3;2,5
School;15. 41360-20LU-000;51;712;521835;258685;1,98;15,6;12,8;29,7;26,0;15,8;55,9;20,3;35,6;0,09;54,2;28,8;52,0;54,8;49,4;1,2
School;16. 33944-02DQ-000;30;707;274785;140205;1,93;14,6;11,6;29,3;26,5;18,1;45,9;24,6;21,4;0,34;64,0;42,2;64,8;67,5;59,8;1,3
School;17. 42510-20BV-000;43;623;305665;170295;1,76;12,8;19,0;28,3;21,7;18,2;23,7;12,0;11,7;0,12;52,0;22,2;50,3;51,7;54,1;2,4
School;18. 31240-02CR-000;37;545;260130;133635;1,9;13,9;15,8;25,4;23,9;21,0;20,8;10,6;10,2;0,2;55,3;25,3;55,6;55,9;62,1;3,0
School;19. 13556-20QY-000;28;795;210830;99930;2,07;16,2;10,3;26,4;26,7;20,4;30,7;15,8;15,0;0,35;64,5;41,6;68,9;69,5;65,3;2,0
School;21. 13556-02DW-000;24;514;173460;75025;2,27;15,2;11,2;23,7;27,3;22,5;15,3;8,6;6,8;0,2;56,4;23,4;61,8;59,7;71,5;3,6
School;22. 13556-20AJ-000;40;676;253200;117855;2,11;15,0;11,2;26,6;26,7;20,6;20,5;10,0;10,6;0,2;57,5;28,0;56,2;57,9;63,1;3,1
School;25. 41347-14WI-000;31;356;149330;71905;2,03;14,7;12,8;24,0;25,5;23,0;14,9;7,4;7,5;0,15;53,3;18,7;52,5;52,1;68,5;3,4
School;26. 13603-20DL-002;32;344;139455;69955;1,95;14,2;14,3;25,0;24,6;21,8;17,1;7,9;9,1;0,1;51,6;18,4;50,5;50,4;62,3;2,9
School;27. 42505-20DP-000;26;740;233350;117870;1,95;13,7;14,6;27,5;24,9;19,3;27,7;13,6;14,1;0,24;58,1;30,4;58,3;59,8;57,6;1,6
School;27. 42505-30GD-000;32;772;299770;146835;2,01;14,4;14,2;26,6;25,2;19,6;26,1;13,9;12,2;0,25;59,1;31,6;59,4;60,9;60,1;1,9
School;28. 41211-17JY-000;28;591;193460;89375;2,12;14,3;11,0;24,1;27,1;23,5;14,8;8,3;6,5;0,24;58,9;29,5;62,5;61,8;67,5;3,4
School;29. 41285-20CI-000;56;848;410810;198780;2,03;14,4;13,4;25,5;25,7;20,9;21,9;10,7;11,1;0,14;53,3;22,7;53,0;53,6;58,3;2,7
School;30. 42992-02QO-000;25;530;155425;69325;2,21;15,2;10,5;23,6;27,3;23,4;18,0;8,9;9,0;0,1;53,4;20,7;54,1;53,6;62,9;3,0
School;31. 41775-15SC-000;60;950;646680;316475;2,01;15,6;13,5;29,4;24,5;17,0;48,6;12,8;35,8;0,07;54,3;29,2;49,5;53,6;47,2;1,5
School;32. 20151-14QT-000;35;421;368920;183045;1,99;15,4;13,8;30,8;24,4;15,6;48,6;13,2;35,3;0,05;53,1;28,1;48,3;52,3;47,3;1,7
School;33. 41568-20DC-000;23;475;190420;89060;2,11;16,1;10,9;27,7;25,4;19,9;38,1;12,9;25,2;0,04;52,4;21,4;49,2;51,0;56,4;1,6
School;34. 40996-04DS-000;19;262;96910;47760;1,99;12,3;10,2;23,2;28,1;26,1;22,5;15,0;7,5;-0,04;48,9;16,7;48,7;47,7;59,7;3,0
School;35. 40094-16PA-000;42;912;390550;195210;1,98;15,8;14,8;34,3;22,5;12,6;32,5;12,6;19,9;0,31;60,4;34,1;55,5;60,6;55,8;1,7
School;36. 41475-15JM-000;58;1101;517575;251640;2,03;15,8;13,9;30,7;23,9;15,7;28,8;11,8;17,1;0,29;59,8;33,6;56,6;60,7;55,5;1,8
School;37. 13556-20DG-000;31;554;196385;89030;2,18;16,3;10,9;24,8;27,6;20,4;23,6;12,3;11,3;0,19;57,2;27,1;59,1;59,2;64,2;2,0
School;38. 42623-20CF-000;25;283;205810;92085;2,19;16,3;12,6;25,4;25,8;19,9;14,3;6,2;8,1;0,19;54,9;22,0;55,1;55,4;63,6;3,0
School;41. 42620-01FP-004;33;662;221985;94690;2,31;18,1;12,3;29,5;26,3;13,8;46,4;11,3;35,0;0,2;56,9;26,2;52,3;55,5;66,9;2,6
School;42. 40586-30GC-000;40;736;563885;305040;1,82;13,1;12,7;36,7;23,7;13,8;55,4;20,6;34,8;0,03;50,9;26,0;43,9;49,5;34,6;1,3
School;43. 42621-14RF-006;52;749;627165;346705;1,79;12,9;12,9;35,4;23,6;15,2;51,3;20,9;30,4;0,1;54,0;29,5;46,6;52,9;36,5;1,5
School;44. 20151-31RY-000;27;756;313050;146990;2,1;16,6;12,7;28,7;25,6;16,4;52,1;12,9;39,3;-0,14;46,9;18,1;41,2;44,5;43,4;1,6
School;45. 99048-19HV-000;30;574;195400;98530;1,94;12,7;9,7;22,8;28,0;26,8;28,4;20,0;8,4;-0,15;45,1;13,1;43,9;43,2;53,6;2,5
School;46. 41298-02VO-000;32;711;283280;135075;2,07;15,7;13,6;26,8;26,6;17,4;40,9;16,5;24,5;0,25;60,3;34,1;58,1;61,0;60,3;1,6
