Type data;tSchool;Kwaliteit onderwijs;Type onderzoek;Vaststellingsdatum;Publicatiedatum;Bestuursnaam;Kader;OP2 Zicht op ontwikkeling;OP3 Pedagogisch klimaat;VS1 Visie en ambitie;OR1 Resultaten;SKA1 Kwaliteitszorg;SKA2 Kwaliteitscultuur;SKA3 Verantwoording
School;41. 42620-01FP-004;Voldoende;Stelselonderzoek;20250131,0;20250210,0;Het Baken Almere, Stichting Interconfess. Voortg. Onderw.;VO2021_V23;Voldoende;Voldoende;Voldoende;Voldoende;Voldoende;Voldoende;Voldoende
School;18. 31240-02CR-000;Onvoldoende;Herstelonderzoek school/opleiding versie 23;20241219,0;20250102,0;Willem Lodewijk Gymnasium;VO2021_V23;Voldoende;Voldoende;Voldoende;Onvoldoende;Voldoende;Voldoende;Voldoende
School;16. 33944-02DQ-000;Voldoende;Stelselonderzoek;20231212,0;20231228,0;Vereniging Het 's-Gravenhaags Christelijk Gymnasium Sorghvliet;VO2021_V23;Voldoende;Voldoende;Voldoende;Voldoende;Voldoende;Voldoende;Voldoende
School;30. 42992-02QO-000;Voldoende;Stelselonderzoek;20250515,0;20250602,0;Libréon, Stichting voor Katholiek en Openbaar Voortgezet Onderwijs;VO2021_V23;Voldoende;Voldoende;Voldoende;Voldoende;Goed;Voldoende;Voldoende
School;10. 40856-02QP-000;Voldoende;Stelselonderzoek;20250620,0;20250704,0;Stichting Onderwijsgroep Oost-Brabant;VO2021_V23;Voldoende;Voldoende;Voldoende;Voldoende;Voldoende;Voldoende;Voldoende
School;46. 41298-02VO-000;Onvoldoende;Kwaliteitsonderzoek naar aanleiding van risico's;20241028,0;20241111,0;Stg. Scholengroep Spinoza voor VO te Voorb., Leidschendam eo;VO2021_V23;Voldoende;Voldoende;Voldoende;Onvoldoende;Voldoende;Voldoende;Voldoende
School;09. 42992-03AM-000;Voldoende;Herstelonderzoek school/opleiding versie 25;20250630,0;20250716,0;Libréon, Stichting voor Katholiek en Openbaar Voortgezet Onderwijs;VO2021_V23;Voldoende;Voldoende;Voldoende;Voldoende;;;
School;34. 40996-04DS-000;Voldoende;Stelselonderzoek;20240703,0;20240724,0;Stichting Trevianum;VO2021_V23;Voldoende;Voldoende;Voldoende;Voldoende;Voldoende;Voldoende;Voldoende
School;36. 41475-15JM-000;Goed;Kwaliteitsonderzoek naar een goede school;20220927,0;20221025,0;Sticht. Openb. Voortg. Onderw. Utrecht en Omstreken;VO2021;Goed;Voldoende;Voldoende;N.t.b.;Voldoende;Goed;Voldoende
School;28. 41211-17JY-000;Voldoende;Kwaliteitsonderzoek naar een goede school;20231019,0;20231110,0;Ons Middelbaar Onderwijs;VO2021;Voldoende;Voldoende;Voldoende;Voldoende;Voldoende;Voldoende;Voldoende
School;01. 13652-20AA-000;Voldoende;Herstelonderzoek school/opleiding versie 25;20250910,0;20250929,0;Stichting Openbaar Voortgezet Onderwijs Noord-Holland-Noord;VO2021_V23;Voldoende;Voldoende;Voldoende;Voldoende;Voldoende;;
School;22. 13556-20AJ-000;Voldoende;Kwaliteitsonderzoek naar aanleiding van risico's;20230313,0;20230411,0;Onderwijsstichting Zelfstandige Gymnasia;VO2021;Voldoende;Voldoende;Voldoende;N.t.b.;Voldoende;Voldoende;Voldoende
School;17. 42510-20BV-000;Voldoende;Stelselonderzoek;20240718,0;20240805,0;Stichting Openbaar Onderwijs Groningen;VO2021_V23;Voldoende;Voldoende;Voldoende;Voldoende;Onvoldoende;Onvoldoende;Voldoende
School;38. 42623-20CF-000;Voldoende;Stelselonderzoek;20240718,0;20240808,0;Stichting Openbaar Onderwijs Zwolle en Regio;VO2021_V23;Voldoende;Voldoende;Voldoende;Voldoende;Voldoende;Voldoende;Voldoende
School;23. 13749-20DD-000;Goed;Kwaliteitsonderzoek naar een goede school;20211217,0;20211221,0;Stichting Gemeentelijk Gymnasium Hilversum;VO2021;Voldoende;Voldoende;Voldoende;N.t.b.;Voldoende;Goed;Voldoende
School;27. 42505-20DP-000;Goed;Kwaliteitsonderzoek naar een goede school;20220909,0;20221007,0;Stichting Stedelijk Gymnasium Leiden;VO2021;Voldoende;Voldoende;Goed;N.t.b.;Goed;Goed;Goed
School;07. 13554-20RM-000;Voldoende;Herstelonderzoek school/opleiding;20220228,0;20220328,0;De Gelderse Onderwijsgroep Quadraam;VO2021;Voldoende;Voldoende;Voldoende;;Voldoende;Voldoende;
School;27. 42505-30GD-000;Goed;Kwaliteitsonderzoek naar een goede school;20220909,0;20221007,0;Stichting Stedelijk Gymnasium Leiden;VO2021;Voldoende;Voldoende;Goed;N.t.b.;Goed;Goed;Goed
