Type data;tSchool;Vergelijkingsgroep;Advies nlln 21-22;Advies gem 21-22;Advies nlln 22-23;Advies gem 22-23;Advies nlln 23-24;Advies gem 23-24;Advies gem 3jr;Advies norm;Advies oordeel;Obsnelheid nlln 19-20;Obsnelheid gem 19-20;Obsnelheid nlln 21-22;Obsnelheid gem 21-22;Obsnelheid nlln 22-23;Obsnelheid gem 22-23;Obsnelheid gem 3jr;Obsnelheid norm;Obsnelheid norm na cor;Obsnelheid oordeel;Bbsucces nlln 19-20;Bbsucces gem 19-20;Bbsucces nlln 21-22;Bbsucces gem 21-22;Bbsucces nlln 22-23;Bbsucces gem 22-23;Bbsucces gem 3jr;Bbsucces norm;Bbsucces norm na cor;Bbsucces oordeel;CE nvak 20-21;CE gem 20-21;CE nvak 21-22;CE gem 21-22;CE nvak 22-23;CE gem 22-23;CE gem 3jr;CE norm;CE norm na cor;CE oordeel;SECE nvak 20-21;SECE gem 20-21;SECE nvak 21-22;SECE gem 21-22;SECE nvak 22-23;SECE gem 22-23;SECE gem 3jr;SECE norm1;SECE norm2;SECE oordeel;Berekend oordeel
School;04. 40776-01ET-000;VWO;127;0,0;133;-0,75;132;-0,76;-0,51;1,35;onder de norm;292;98,29;296;92,91;287;98,26;96,46;95,5;94,59;boven de norm;527;97,91;495;91,31;491;94,09;94,51;82,0;80,81;boven de norm;;;;;942;6,94;;6,3;;;;;;;942;-0,12;;1,0;0,5;;voldoende
School;41. 42620-01FP-004;VWO;106;22,64;124;16,13;92;16,3;18,32;1,35;boven de norm;259;97,68;249;95,98;231;94,37;96,08;95,5;94,93;boven de norm;385;94,29;380;87,11;393;87,53;89,64;82,0;81,25;boven de norm;;;;;614;6,72;;6,3;;;;;;;614;-0,25;;1,0;0,5;;voldoende
School;18. 31240-02CR-000;VWO;106;-6,6;121;0,0;132;-1,52;-2,51;1,35;onder de norm;248;94,35;281;93,24;242;95,45;94,29;95,5;95,15;onder de norm;455;92,75;445;92,13;431;92,11;92,34;82,0;81,61;boven de norm;;;;;787;6,94;;6,3;;;;;;;787;-0,08;;1,0;0,5;;onvoldoende, tenzij
School;16. 33944-02DQ-000;VWO;132;-1,52;125;-0,8;129;-2,33;-1,55;1,35;onder de norm;273;98,53;286;96,15;257;97,28;97,3;95,5;94,83;boven de norm;511;95,11;500;91,8;493;94,93;93,95;82,0;81,05;boven de norm;;;;;965;7,09;;6,3;;;;;;;965;-0,17;;1,0;0,5;;voldoende
School;21. 13556-02DW-000;VWO;105;10,48;87;4,6;101;5,94;7,17;1,35;boven de norm;227;99,12;208;93,75;184;95,65;96,28;95,5;95,45;boven de norm;438;94,98;400;87,0;368;89,13;90,55;82,0;81,87;boven de norm;;;;;637;6,72;;6,3;;;;;;;637;-0,08;;1,0;0,5;;voldoende
School;08. 41211-02FY-007;nan;;;;;;;;;;;;;;109;95,41;;95,5;;;;;;;229;86,9;;82,0;;;;;;;350;6,78;;6,3;;;;;;;350;0,25;;1,0;0,5;;geen oordeel
School;30. 42992-02QO-000;VWO;110;3,64;96;4,17;82;7,32;4,86;1,35;boven de norm;266;93,23;207;86,47;200;90,0;90,19;95,5;95,49;onder de norm;458;91,7;464;79,96;438;85,62;85,74;82,0;81,96;boven de norm;;;;;819;6,43;;6,3;;;;;;;819;0,04;;1,0;0,5;;voldoende
School;10. 40856-02QP-000;VWO;71;18,31;70;15,71;65;12,31;15,53;1,35;boven de norm;160;96,25;159;89,94;148;87,84;91,43;95,5;95,41;onder de norm;274;94,89;269;82,16;248;87,5;88,24;82,0;81,85;boven de norm;;;;;402;6,86;;6,3;;;;;;;402;-0,2;;1,0;0,5;;voldoende
School;46. 41298-02VO-000;VWO;107;0,0;145;-2,07;133;4,51;0,78;1,35;onder de norm;223;96,41;333;94,29;286;91,96;94,06;95,5;95,04;onder de norm;463;95,25;443;93,23;477;93,29;93,93;82,0;81,54;boven de norm;;;;;949;6,86;;6,3;;;;;;;949;-0,07;;1,0;0,5;;onvoldoende, tenzij
School;09. 42992-03AM-000;VWO;129;0,78;116;1,72;125;-1,6;0,27;1,35;onder de norm;328;95,73;285;91,58;270;93,7;93,77;95,5;95,18;onder de norm;654;94,34;603;92,87;556;92,45;93,27;82,0;81,56;boven de norm;;;;;1177;6,78;;6,3;;;;;;;1177;-0,13;;1,0;0,5;;onvoldoende, tenzij
School;34. 40996-04DS-000;VWO;104;1,92;70;0,0;66;13,64;4,58;1,35;boven de norm;201;97,01;149;100,0;146;99,32;98,59;95,5;95,46;boven de norm;294;96,6;317;94,64;284;90,85;94,08;82,0;81,93;boven de norm;;;;;514;6,95;;6,3;;;;;;;514;0,0;;1,0;0,5;;voldoende
School;32. 20151-14QT-000;VWO;93;4,3;83;1,2;85;3,53;3,07;1,35;boven de norm;220;94,55;195;95,38;201;93,53;94,48;95,5;93,6;boven de norm;370;97,84;359;91,64;341;88,56;92,8;82,0;79,68;boven de norm;;;;;570;6,73;;6,3;;;;;;;570;-0,2;;1,0;0,5;;voldoende
School;43. 42621-14RF-006;VWO;142;-2,11;130;0,0;131;0,0;-0,74;1,35;onder de norm;300;98,33;285;96,49;313;98,08;97,66;95,5;93,81;boven de norm;537;95,72;512;91,02;493;93,1;93,32;82,0;79,75;boven de norm;;;;;987;7,11;;6,3;;;;;;;987;-0,14;;1,0;0,5;;voldoende
School;25. 41347-14WI-000;VWO;88;5,68;97;-2,06;75;4,0;2,31;1,35;boven de norm;184;96,2;187;95,72;144;97,92;96,5;95,5;95,44;boven de norm;346;92,49;328;88,11;324;84,88;88,58;82,0;81,9;boven de norm;;;;;696;6,22;;6,3;;;;;;;696;0,22;;1,0;0,5;;voldoende
School;36. 41475-15JM-000;VWO;190;0,53;188;-0,53;193;0,52;0,18;1,35;onder de norm;405;98,02;412;97,82;422;97,16;97,66;95,5;95,15;boven de norm;636;95,75;667;96,25;712;93,96;95,29;82,0;81,62;boven de norm;;;;;1228;7,05;;6,3;;;;;;;1228;-0,09;;1,0;0,5;;voldoende
School;31. 41775-15SC-000;VWO;190;1,58;185;-2,16;176;-1,14;-0,54;1,35;onder de norm;429;97,44;413;93,95;426;96,71;96,06;95,5;94,02;boven de norm;675;97,78;693;94,52;676;93,64;95,3;82,0;80,1;boven de norm;;;;;1275;7,25;;6,3;;;;;;;1270;-0,35;;1,0;0,5;;voldoende
School;35. 40094-16PA-000;VWO;157;-0,64;161;0,0;166;1,2;0,21;1,35;onder de norm;350;98,0;349;96,28;345;97,39;97,22;95,5;95,23;boven de norm;618;96,93;600;94,17;599;95,99;95,71;82,0;81,53;boven de norm;;;;;1047;7,08;;6,3;;;;;;;1045;-0,07;;1,0;0,5;;voldoende
School;28. 41211-17JY-000;VWO;98;16,33;103;13,59;111;10,81;13,46;1,35;boven de norm;230;96,52;239;95,82;236;88,98;93,76;95,5;95,18;onder de norm;541;95,19;439;92,94;410;91,95;93,53;82,0;81,73;boven de norm;;;;;782;6,82;;6,3;;;;;;;782;-0,22;;1,0;0,5;;voldoende
School;45. 99048-19HV-000;VWO;49;36,73;57;28,07;61;22,95;28,74;1,35;boven de norm;111;100,0;124;99,19;130;96,15;98,36;95,5;95,17;boven de norm;348;95,11;295;74,58;271;82,66;84,79;82,0;80,5;boven de norm;;;;;485;6,19;;6,3;;;;;;;485;0,26;;1,0;0,5;;voldoende
School;13. 41386-19ZU-000;VWO;100;-1,0;113;6,19;93;6,45;3,92;1,35;boven de norm;263;96,58;222;97,3;212;96,23;96,7;95,5;95,06;boven de norm;444;94,59;449;90,87;435;86,9;90,81;82,0;81,48;boven de norm;;;;;787;6,55;;6,3;;;;;;;786;0,12;;1,0;0,5;;voldoende
School;01. 13652-20AA-000;VWO;103;10,68;109;11,01;91;7,69;9,9;1,35;boven de norm;290;83,79;304;80,59;298;78,86;81,05;95,5;95,35;onder de norm;525;94,1;461;88,07;454;90,09;90,9;82,0;81,84;boven de norm;;;;;1024;6,64;;6,3;;;;;;;1024;0,07;;1,0;0,5;;voldoende
School;14. 41525-20AI-000;VWO;92;1,09;107;-2,8;117;-2,56;-1,58;1,35;onder de norm;272;96,69;249;96,39;229;96,51;96,53;95,5;95,1;boven de norm;444;98,2;448;89,51;426;90,38;92,72;82,0;81,52;boven de norm;;;;;757;6,56;;6,3;;;;;;;757;0,01;;1,0;0,5;;voldoende
