Type data;tSchool;Leefbaarheidsscore;Afwijking landelijk gem;Fysieke omgeving;Overlast en onveiligheid;Sociale samenhang;Voorzieningen;Woningvoorraad
School;01. 13652-20AA-000;4,189;0,087;0,027;0,042;0,017;-0,02;0,021
School;02. 41208-20CK-000;4,21;0,107;0,002;0,034;0,013;0,039;0,019
School;03. 13556-21AB-000;4,309;0,206;-0,009;-0,079;-0,073;0,381;-0,015
School;04. 40776-01ET-000;4,33;0,228;-0,006;-0,053;-0,064;0,357;-0,006
School;05. 13556-21AF-000;4,31;0,208;-0,007;-0,058;-0,065;0,351;-0,013
School;06. 42818-20QU-000;4,229;0,127;0,02;0,049;0,023;0,011;0,024
School;07. 13554-20RM-000;4,147;0,044;-0,001;0,009;;0,029;0,007
School;08. 41211-02FY-007;4,079;-0,023;0,015;-0,003;0,012;-0,063;0,015
School;09. 42992-03AM-000;4,195;0,093;0,003;0,021;0,011;0,031;0,026
School;10. 40856-02QP-000;4,134;0,031;-0,01;0,056;0,037;-0,089;0,037
School;11. 41513-20KZ-000;4,111;0,009;-0,007;;-0,005;0,021;
School;13. 41386-19ZU-000;4,103;0,001;-0,005;0,047;0,015;-0,071;0,016
School;14. 41525-20AI-000;4,12;0,018;-0,005;0,005;;0,013;0,005
School;15. 41360-20LU-000;4,261;0,159;0,034;-0,057;-0,046;0,218;0,01
School;16. 33944-02DQ-000;4,431;0,329;0,068;0,014;-0,019;0,218;0,047
School;17. 42510-20BV-000;4,187;0,085;0,029;0,019;0,008;0,03;-0,001
School;18. 31240-02CR-000;4,208;0,105;0,038;0,046;0,024;-0,014;0,011
School;19. 13556-20QY-000;4,313;0,211;0,042;0,027;0,002;0,096;0,043
School;21. 13556-02DW-000;4,188;0,086;-0,002;0,068;0,041;-0,059;0,039
School;22. 13556-20AJ-000;4,145;0,042;-0,013;0,027;0,014;-0,006;0,021
School;25. 41347-14WI-000;4,209;0,106;0,028;0,072;0,04;-0,059;0,026
School;26. 13603-20DL-002;4,203;0,101;0,031;0,047;0,029;-0,022;0,015
School;27. 42505-20DP-000;4,197;0,095;-0,01;0,034;-0,011;0,075;0,006
School;27. 42505-30GD-000;4,2;0,098;0,003;0,031;-0,006;0,069;0,002
School;28. 41211-17JY-000;4,222;0,12;0,002;0,064;0,03;-0,012;0,036
School;29. 41285-20CI-000;4,159;0,057;-0,003;0,035;0,013;-0,005;0,017
School;30. 42992-02QO-000;4,117;0,015;-0,002;0,031;0,01;-0,044;0,02
School;31. 41775-15SC-000;4,141;0,038;-0,01;-0,063;-0,035;0,153;-0,005
School;32. 20151-14QT-000;4,154;0,052;-0,018;-0,073;-0,037;0,177;0,003
School;33. 41568-20DC-000;4,049;-0,053;-0,013;-0,061;-0,033;0,065;-0,012
School;34. 40996-04DS-000;4,079;-0,024;-0,002;-0,028;0,008;-0,015;0,014
School;35. 40094-16PA-000;4,152;0,05;-0,019;-0,015;-0,014;0,105;-0,006
School;36. 41475-15JM-000;4,181;0,079;-0,012;0,001;-0,013;0,102;0,002
School;37. 13556-20DG-000;4,149;0,046;0,031;-0,002;-0,007;0,015;0,009
School;38. 42623-20CF-000;4,173;0,07;0,017;0,042;0,017;-0,031;0,025
School;41. 42620-01FP-004;4,057;-0,045;0,012;-0,021;0,002;-0,032;-0,007
School;42. 40586-30GC-000;4,17;0,068;-0,013;-0,092;-0,069;0,285;-0,043
School;43. 42621-14RF-006;4,179;0,077;-0,008;-0,072;-0,053;0,239;-0,029
School;44. 20151-31RY-000;3,992;-0,11;-0,011;-0,112;-0,049;0,096;-0,034
School;45. 99048-19HV-000;4,081;-0,021;;-0,028;-0,004;-0,001;0,01
School;46. 41298-02VO-000;4,232;0,129;-0,008;0,007;-0,012;0,135;0,008
