tSchool;Schooljaar;slaagpct;examenkandidaten;geslaagden;ce_gem;se_gem;se_ce_verschil;ce_gem_duo;ce_grieks;ce_latijn;percentiel_slaag;percentiel_ce;percentiel_se;pct_wo;pct_hbo;pct_geen_bekostigd;totaal_gediplomeerden;leerlingen_totaal;leerlingen_groei_pct;pct_zittenblijvers;n_zittenblijvers;pct_afstromers;tevredenheid_ll;tevredenheid_ouders;sfeer;veiligheid;inspectie_oordeel;inspectie_obsnelheid_3jr;inspectie_bbsucces_3jr;inspectie_ce_3jr;inspectie_sece_3jr;inspectie_advies_3jr;leerling_leraar_ratio;fte_totaal;fte_onderwijzend;pct_schaal_lc;pct_schaal_ld;gem_loonsom_op;verzuimpct;meldfrequentie;brugjaar_bevorderd_pct;brugjaar_uitval_pct;n_examenvakken;has_grieks;has_latijn;n_deelnemers_grieks;n_deelnemers_latijn;klassieke_talen_deelname_pct;ses_woa;inkomen_gem_pctgrp;pct_inkomen_p80_100;vermogen_gem_pctgrp;welvaart_gem_pctgrp;pct_koopwoning;stedelijkheid;pct_migratie;pct_niet_westers;leefbaarheid;leefb_onveiligheid;leefb_sociaal;solvabiliteit;weerstandsvermogen;kapitalisatiefactor;eenpitter;pct_atheneum;gemengd;pct_meisjes;pct_natuur;afstroom_jongens;afstroom_meisjes
01. 13652-20AA-000;21-22;89,6;96;86;6,57;6,84;0,15;6,56;6,59;5,89;;;;73,3;2,3;20,9;86;767;;17,5;140;1,2;6,8;;8,1;;voldoende;81,05;90,9;6,64;0,07;9,9;16,7;62,8;45,4;32,7;29,7;4953,0;4,6;2,9;67,0;33,0;22;1;1;19;87;110,4;0,16;55,8;24,7;59,0;58,0;65,3;2,5;19,8;10,4;4,189;0,042;0,017;41,6;29,9;62,4;0;0,0;0;46,9;59,5;9,6;5,0
01. 13652-20AA-000;22-23;89,4;123;110;6,64;6,72;0,07;6,66;5,77;6,6;;;;72,7;1,8;25,5;110;758;-1,2;14,2;109;1,2;6,5;;7,6;;voldoende;81,05;90,9;6,64;0,07;9,9;18,0;55,7;38,4;41,8;29,8;5530,0;5,5;2,5;70,5;29,5;20;1;1;41;91;107,3;0,16;55,8;24,7;59,0;58,0;65,3;2,5;19,8;10,4;4,189;0,042;0,017;41,6;29,9;62,4;0;0,0;0;46,4;64,4;12,3;8,2
01. 13652-20AA-000;23-24;91,3;92;84;6,76;6,76;-0,0;6,74;6,7;6,5;50,0;35,0;46,0;70,2;3,6;22,6;84;690;-9,0;12,9;98;1,7;6,8;8,1;;9,5;voldoende;81,05;90,9;6,64;0,07;9,9;;;;;;;8,4;1,7;0,0;100,0;17;1;1;34;73;116,3;0,16;55,8;24,7;59,0;58,0;65,3;2,5;19,8;10,4;4,189;0,042;0,017;41,6;29,9;62,4;0;0,0;0;45,9;74,2;100,0;100,0
01. 13652-20AA-000;24-25;84,0;75;63;6,46;6,74;0,28;6,42;5,9;6,0;20,0;18,0;37,0;;;;;650;-5,8;11,9;82;0,9;;;;;voldoende;81,05;90,9;6,64;0,07;9,9;;;;;;;;;;;17;1;1;31;51;109,3;0,16;55,8;24,7;59,0;58,0;65,3;2,5;19,8;10,4;4,189;0,042;0,017;41,6;29,9;62,4;0;0,0;0;44,5;72,9;0,0;0,0
02. 41208-20CK-000;21-22;98,3;116;114;6,89;6,75;-0,18;6,87;6,78;6,22;;;;69,3;1,8;28,1;114;796;;5,9;47;0,6;7,1;;8,5;;voldoende;93,59;95,09;6,93;-0,27;1,96;18,2;61,1;46,0;45,1;33,9;5147,0;6,9;2,1;83,9;16,1;21;1;1;32;95;109,5;0,26;59,5;30,6;60,1;61,2;66,1;2,3;20,7;12,2;4,21;0,034;0,013;61,2;41,3;60,3;0;0,0;0;48,7;68,3;5,6;4,4
02. 41208-20CK-000;22-23;87,1;101;88;6,93;6,7;-0,27;6,89;6,67;6,53;;;;65,9;2,3;30,7;88;839;5,4;3,9;31;0,7;;;;;voldoende;93,59;95,09;6,93;-0,27;1,96;18,1;67,0;49,2;37,0;40,3;5648,0;5,1;1,4;87,4;12,6;22;1;1;19;94;111,9;0,26;59,5;30,6;60,1;61,2;66,1;2,3;20,7;12,2;4,21;0,034;0,013;61,2;41,3;60,3;0;0,0;0;48,2;66,5;4,8;5,2
02. 41208-20CK-000;23-24;95,2;104;99;7,13;6,84;-0,29;7,11;6,8;7,1;85,0;99,0;82,0;81,8;2,0;16,2;99;890;6,1;6,1;51;0,7;7,2;8,3;8,5;9,8;voldoende;93,59;95,09;6,93;-0,27;1,96;;;;;;;6,3;1,9;0,0;100,0;19;1;1;17;90;102,9;0,26;59,5;30,6;60,1;61,2;66,1;2,3;20,7;12,2;4,21;0,034;0,013;61,2;41,3;60,3;0;0,0;0;46,1;66,4;100,0;100,0
02. 41208-20CK-000;24-25;94,3;87;82;6,98;6,83;-0,15;6,96;7,6;6,3;73,0;89,0;56,0;;;;;941;5,7;5,4;49;1,1;;;;;voldoende;93,59;95,09;6,93;-0,27;1,96;;;;;;;;;;;18;1;1;30;67;111,5;0,26;59,5;30,6;60,1;61,2;66,1;2,3;20,7;12,2;4,21;0,034;0,013;61,2;41,3;60,3;0;0,0;0;44,8;71,8;0,0;0,0
03. 13556-21AB-000;21-22;99,2;119;118;6,81;6,86;-0,0;6,81;7,18;6,57;;;;48,3;0,0;51,7;118;800;;4,0;32;0,5;7,4;;8,6;8,8;voldoende;96,98;93,3;7,0;-0,19;0,51;16,7;66,2;48,1;21,9;56,7;5196,0;6,7;1,7;96,5;3,5;23;1;1;51;76;106,7;0,15;55,9;32,9;47,5;54,9;35,4;1,1;52,8;30,1;4,309;-0,079;-0,073;64,1;31,4;35,8;0;0,0;0;55,1;40,3;3,1;2,5
03. 13556-21AB-000;22-23;97,1;105;102;7,0;6,86;-0,19;6,92;7,32;7,5;;;;41,2;0,0;58,8;102;802;0,2;5,6;45;;7,3;;8,3;8,8;voldoende;96,98;93,3;7,0;-0,19;0,51;17,9;63,0;44,9;26,5;60,7;5876,0;3,3;1,6;86,7;13,3;21;1;1;60;60;114,3;0,15;55,9;32,9;47,5;54,9;35,4;1,1;52,8;30,1;4,309;-0,079;-0,073;64,1;31,4;35,8;0;0,0;0;54,6;40,6;5,8;4,3
