tSchool;Schooljaar;Profiel;Geslacht;Examenkandidaten;Geslaagden;Slaagpercentage
01. 13652-20AA-000;21-22;C&M;Vrouw;9;8;88.9
01. 13652-20AA-000;21-22;E&M;Man;0;0;0.0
01. 13652-20AA-000;21-22;E&M;Vrouw;0;0;0.0
01. 13652-20AA-000;21-22;E&M/C&M;Man;17;16;94.1
01. 13652-20AA-000;21-22;E&M/C&M;Vrouw;25;23;92.0
01. 13652-20AA-000;21-22;N&G;Man;6;5;83.3
01. 13652-20AA-000;21-22;N&G;Vrouw;5;5;100.0
01. 13652-20AA-000;21-22;N&G/C&M;Man;0;0;0.0
01. 13652-20AA-000;21-22;N&G/C&M;Vrouw;0;0;0.0
01. 13652-20AA-000;21-22;N&T/N&G;Man;17;15;88.2
01. 13652-20AA-000;21-22;N&T/N&G;Vrouw;13;11;84.6
01. 13652-20AA-000;22-23;C&M;Man;8;7;87.5
01. 13652-20AA-000;22-23;C&M;Vrouw;9;7;77.8
01. 13652-20AA-000;22-23;E&M;Vrouw;0;0;0.0
01. 13652-20AA-000;22-23;E&M/C&M;Man;19;15;78.9
01. 13652-20AA-000;22-23;E&M/C&M;Vrouw;17;15;88.2
01. 13652-20AA-000;22-23;N&G;Man;10;10;100.0
01. 13652-20AA-000;22-23;N&G;Vrouw;16;15;93.8
01. 13652-20AA-000;22-23;N&G/C&M;Man;0;0;0.0
01. 13652-20AA-000;22-23;N&G/C&M;Vrouw;0;0;0.0
01. 13652-20AA-000;22-23;N&T;Vrouw;0;0;0.0
01. 13652-20AA-000;22-23;N&T/N&G;Man;21;18;85.7
01. 13652-20AA-000;22-23;N&T/N&G;Vrouw;23;23;100.0
01. 13652-20AA-000;23-24;C&M;Man;6;5;83.3
01. 13652-20AA-000;23-24;C&M;Vrouw;5;5;100.0
01. 13652-20AA-000;23-24;E&M;Man;0;0;0.0
01. 13652-20AA-000;23-24;E&M/C&M;Man;11;9;81.8
01. 13652-20AA-000;23-24;E&M/C&M;Vrouw;8;8;100.0
01. 13652-20AA-000;23-24;N&G;Man;8;8;100.0
01. 13652-20AA-000;23-24;N&G;Vrouw;10;6;60.0
01. 13652-20AA-000;23-24;N&G/C&M;Man;0;0;0.0
01. 13652-20AA-000;23-24;N&G/C&M;Vrouw;0;0;0.0
01. 13652-20AA-000;23-24;N&T/N&G;Man;19;19;100.0
01. 13652-20AA-000;23-24;N&T/N&G;Vrouw;25;24;96.0
01. 13652-20AA-000;24-25;E&M/C&M;Vrouw;8;7;87.5
01. 13652-20AA-000;24-25;N&G;Man;5;5;100.0
01. 13652-20AA-000;24-25;N&G;Vrouw;8;;25.0
01. 13652-20AA-000;24-25;N&G/C&M;Vrouw;0;0;0.0
01. 13652-20AA-000;24-25;N&T;Man;6;5;83.3
01. 13652-20AA-000;24-25;N&T;Vrouw;6;;66.7
01. 13652-20AA-000;24-25;N&T/N&G;Man;20;19;95.0
01. 13652-20AA-000;24-25;N&T/N&G;Vrouw;12;12;100.0
02. 41208-20CK-000;21-22;C&M;Vrouw;6;6;100.0
02. 41208-20CK-000;21-22;E&M/C&M;Man;14;14;100.0
02. 41208-20CK-000;21-22;E&M/C&M;Vrouw;12;12;100.0
02. 41208-20CK-000;21-22;N&G;Man;13;12;92.3
02. 41208-20CK-000;21-22;N&G;Vrouw;9;8;88.9
02. 41208-20CK-000;21-22;N&G/C&M;Man;0;0;0.0
02. 41208-20CK-000;21-22;N&G/C&M;Vrouw;0;0;0.0
02. 41208-20CK-000;21-22;N&G/E&M;Man;0;0;0.0
02. 41208-20CK-000;21-22;N&G/E&M;Vrouw;0;0;0.0
02. 41208-20CK-000;21-22;N&T;Man;5;5;100.0
02. 41208-20CK-000;21-22;N&T;Vrouw;0;0;0.0
02. 41208-20CK-000;21-22;N&T/C&M;Man;0;0;0.0
02. 41208-20CK-000;21-22;N&T/C&M;Vrouw;0;0;0.0
02. 41208-20CK-000;21-22;N&T/E&M;Man;0;0;0.0
02. 41208-20CK-000;21-22;N&T/E&M;Vrouw;0;0;0.0
02. 41208-20CK-000;21-22;N&T/N&G;Man;22;22;100.0
02. 41208-20CK-000;21-22;N&T/N&G;Vrouw;34;34;100.0
02. 41208-20CK-000;22-23;C&M;Vrouw;7;6;85.7
02. 41208-20CK-000;22-23;E&M;Vrouw;;0;0.0
02. 41208-20CK-000;22-23;E&M/C&M;Man;13;12;92.3
02. 41208-20CK-000;22-23;E&M/C&M;Vrouw;12;10;83.3
