Type data;tSchool;Schooljaar;Tevredenheid leerlingen;Benchmark tevredenheid leerlingen;Sfeer;Benchmark sfeer;Veiligheid;Benchmark veiligheid;Tevredenheid ouders;Benchmark tevredenheid ouders
School;01. 13652-20AA-000;21-22;6,8;6,5;8,1;7,6;;;;
School;01. 13652-20AA-000;22-23;6,5;6,4;7,6;7,4;;;;
School;01. 13652-20AA-000;23-24;6,8;6,4;;7,4;9,5;9,4;8,1;7,7
School;02. 41208-20CK-000;19-20;;;;7,3;9,5;9,5;;
School;02. 41208-20CK-000;20-21;;;8,2;7,8;9,7;9,7;;
School;02. 41208-20CK-000;21-22;7,1;6,5;8,5;7,6;;;;
School;02. 41208-20CK-000;23-24;7,2;6,4;8,5;7,6;9,8;9,5;8,3;7,7
School;03. 13556-21AB-000;21-22;7,4;6,5;8,6;7,6;8,8;7,9;;
School;03. 13556-21AB-000;22-23;7,3;6,4;8,3;7,4;8,8;7,8;;
School;03. 13556-21AB-000;23-24;7,0;6,4;8,2;7,4;9,2;9,4;8,7;7,7
School;04. 40776-01ET-000;20-21;6,7;6,6;;;8,5;7,9;;
School;04. 40776-01ET-000;21-22;6,6;6,5;7,9;7,6;;;;
School;04. 40776-01ET-000;22-23;6,4;6,4;7,9;7,4;9,3;9,4;8,0;7,8
School;04. 40776-01ET-000;23-24;;;7,9;7,4;9,3;9,4;;
School;05. 13556-21AF-000;21-22;6,7;6,5;7,8;7,6;9,5;9,5;;
School;05. 13556-21AF-000;22-23;6,4;6,4;7,4;7,4;;;;
School;05. 13556-21AF-000;23-24;6,5;6,4;7,5;7,4;9,3;9,4;8,1;7,7
School;07. 13554-20RM-000;21-22;6,3;6,5;7,5;7,6;9,5;9,5;;
School;07. 13554-20RM-000;22-23;6,3;6,4;7,4;7,4;;;;
School;07. 13554-20RM-000;23-24;6,2;6,4;7,3;7,4;9,2;9,4;7,6;7,8
School;08. 41211-02FY-007;20-21;;;8,5;7,8;9,3;9,7;;
School;08. 41211-02FY-007;21-22;6,4;6,5;7,6;7,6;9,1;9,5;;
School;08. 41211-02FY-007;23-24;5,8;6,4;6,6;7,4;9,1;9,4;7,0;7,7
School;09. 42992-03AM-000;21-22;6,9;6,5;8,2;7,6;;;;
School;09. 42992-03AM-000;22-23;6,9;6,4;8,1;7,4;;;;
School;09. 42992-03AM-000;23-24;6,9;6,4;;7,4;9,4;9,4;8,1;7,7
School;10. 40856-02QP-000;21-22;6,5;6,5;7,5;7,6;9,1;7,9;;
School;10. 40856-02QP-000;22-23;6,6;6,4;7,6;7,4;9,2;7,8;;
School;10. 40856-02QP-000;23-24;6,3;;7,5;7,4;9,3;9,4;7,7;
School;11. 41513-20KZ-000;19-20;;;7,7;7,3;9,7;9,5;;
School;11. 41513-20KZ-000;20-21;;;8,2;7,8;9,8;9,7;;
School;11. 41513-20KZ-000;21-22;6,6;6,5;;7,6;;;;
School;11. 41513-20KZ-000;23-24;6,6;;;7,6;9,5;9,5;8,6;
School;13. 41386-19ZU-000;21-22;6,5;6,5;;;;;;
School;14. 41525-20AI-000;19-20;;;7,9;7,3;9,5;9,5;;
School;14. 41525-20AI-000;20-21;;;8,1;7,8;9,5;9,7;;
School;14. 41525-20AI-000;21-22;6,7;6,5;7,7;7,6;;;;
School;14. 41525-20AI-000;22-23;7,1;6,4;;;;;;
School;14. 41525-20AI-000;23-24;7,0;6,4;7,7;7,6;9,4;9,5;8,4;7,7
School;15. 41360-20LU-000;21-22;6,7;6,5;;7,6;;;;
School;15. 41360-20LU-000;22-23;6,6;6,4;7,6;7,4;9,4;9,4;;
School;15. 41360-20LU-000;23-24;7,0;6,4;;7,4;9,4;9,4;8,4;
School;16. 33944-02DQ-000;21-22;6,8;6,5;7,9;7,6;;;;
School;16. 33944-02DQ-000;22-23;6,7;6,4;7,9;7,4;9,4;9,4;8,4;7,8
School;16. 33944-02DQ-000;23-24;;;7,9;7,4;9,4;9,4;;
School;17. 42510-20BV-000;21-22;7,2;6,5;8,1;7,6;9,6;9,5;;
School;17. 42510-20BV-000;22-23;7,3;6,4;8,2;7,4;;;;
School;17. 42510-20BV-000;23-24;7,1;;7,9;;9,3;;8,1;
School;18. 31240-02CR-000;21-22;7,1;6,5;8,1;7,6;9,5;9,5;;
School;18. 31240-02CR-000;22-23;7,1;6,4;;7,4;9,3;9,4;;
School;18. 31240-02CR-000;23-24;7,1;6,4;8,2;7,4;9,4;9,4;8,6;7,8
School;19. 13556-20QY-000;21-22;6,7;6,5;8,1;7,6;;;;
School;19. 13556-20QY-000;22-23;6,8;6,4;8,1;7,4;;;;
School;19. 13556-20QY-000;23-24;6,8;6,4;8,1;7,4;9,3;9,4;8,3;7,7
School;21. 13556-02DW-000;21-22;;6,5;8,2;7,6;9,6;9,5;;
School;21. 13556-02DW-000;22-23;7,2;6,4;8,3;7,4;8,7;7,8;;
School;21. 13556-02DW-000;23-24;7,1;6,4;8,3;7,4;9,7;9,4;8,8;7,7
School;22. 13556-20AJ-000;21-22;6,9;6,5;8,3;7,6;9,5;9,5;;
School;22. 13556-20AJ-000;22-23;6,7;6,4;7,8;7,4;;;;
School;22. 13556-20AJ-000;23-24;6,7;6,4;;7,4;9,4;9,4;8,6;7,7
School;23. 13749-20DD-000;19-20;;;7,6;7,3;9,8;9,5;;
School;23. 13749-20DD-000;20-21;;;7,9;7,8;;;;
School;23. 13749-20DD-000;23-24;6,7;6,4;7,7;7,4;9,1;9,4;8,1;7,9
School;25. 41347-14WI-000;20-21;;;;;8,5;7,9;;
School;25. 41347-14WI-000;21-22;6,6;6,5;8,3;7,6;;;;
School;25. 41347-14WI-000;22-23;6,5;6,4;8,1;7,4;;;;
School;25. 41347-14WI-000;23-24;6,5;6,4;8,2;7,4;9,6;9,4;8,3;7,8
School;26. 13603-20DL-002;21-22;6,5;6,5;;7,6;8,6;7,9;;
School;26. 13603-20DL-002;22-23;6,7;6,4;7,8;7,4;;;;
School;26. 13603-20DL-002;23-24;6,6;6,4;;7,4;9,5;9,4;8,3;7,7
School;27. 42505-20DP-000;21-22;6,8;6,5;8,1;7,6;9,5;9,5;;
School;27. 42505-20DP-000;22-23;6,7;6,4;7,9;7,4;9,4;9,4;;
School;27. 42505-20DP-000;23-24;6,6;6,4;7,8;7,4;9,3;9,4;8,3;7,7
School;27. 42505-30GD-000;21-22;6,7;6,5;7,8;7,6;9,3;9,5;;
School;27. 42505-30GD-000;22-23;6,5;6,4;7,6;7,4;9,3;9,4;;
School;27. 42505-30GD-000;23-24;6,2;6,4;7,5;7,4;9,3;9,4;8,4;7,7
School;28. 41211-17JY-000;21-22;;6,5;8,1;7,6;;;;
School;28. 41211-17JY-000;22-23;6,7;6,4;7,8;7,4;;;;
School;28. 41211-17JY-000;23-24;6,7;6,4;7,9;7,4;9,2;9,4;8,4;7,7
School;29. 41285-20CI-000;21-22;6,8;6,5;7,9;7,6;;;;
School;29. 41285-20CI-000;22-23;6,5;6,4;7,8;7,4;;;;
