tSchool;Schooljaar;ce_raw;ce_predicted;va_ce
01. 13652-20AA-000;21-22;6.57;6.5009;0.0691
01. 13652-20AA-000;22-23;6.64;6.6996;-0.0596
01. 13652-20AA-000;23-24;6.76;6.6878;0.0722
01. 13652-20AA-000;24-25;6.46;6.6122;-0.1522
02. 41208-20CK-000;21-22;6.89;6.8014;0.0886
02. 41208-20CK-000;22-23;6.93;7.0138;-0.0838
02. 41208-20CK-000;23-24;7.13;7.0344;0.0956
02. 41208-20CK-000;24-25;6.98;6.9833;-0.0033
03. 13556-21AB-000;21-22;6.81;6.7949;0.0151
03. 13556-21AB-000;22-23;7.0;6.9966;0.0034
03. 13556-21AB-000;23-24;7.08;7.0058;0.0742
03. 13556-21AB-000;24-25;6.88;6.9315;-0.0515
04. 40776-01ET-000;21-22;6.83;6.8165;0.0135
04. 40776-01ET-000;22-23;6.94;7.0142;-0.0742
04. 40776-01ET-000;23-24;6.94;7.0218;-0.0818
04. 40776-01ET-000;24-25;7.11;6.9503;0.1597
05. 13556-21AF-000;21-22;6.58;6.7524;-0.1724
05. 13556-21AF-000;22-23;6.97;6.9531;0.0169
05. 13556-21AF-000;23-24;7.05;6.9579;0.0921
05. 13556-21AF-000;24-25;6.93;6.8968;0.0332
06. 42818-20QU-000;21-22;6.39;6.4018;-0.0118
06. 42818-20QU-000;22-23;6.58;6.5926;-0.0126
06. 42818-20QU-000;23-24;6.56;6.6003;-0.0403
06. 42818-20QU-000;24-25;6.46;6.5177;-0.0577
07. 13554-20RM-000;21-22;6.61;6.4719;0.1381
07. 13554-20RM-000;22-23;6.55;6.6546;-0.1046
07. 13554-20RM-000;23-24;6.55;6.6459;-0.0959
07. 13554-20RM-000;24-25;6.58;6.5505;0.0295
08. 41211-02FY-007;21-22;6.38;6.4374;-0.0574
08. 41211-02FY-007;22-23;6.78;6.623;0.157
08. 41211-02FY-007;23-24;6.77;6.6081;0.1619
08. 41211-02FY-007;24-25;6.29;6.4496;-0.1596
09. 42992-03AM-000;21-22;6.4;6.6122;-0.2122
09. 42992-03AM-000;22-23;6.78;6.7984;-0.0184
09. 42992-03AM-000;23-24;6.86;6.7818;0.0782
09. 42992-03AM-000;24-25;6.79;6.7049;0.0851
10. 40856-02QP-000;21-22;6.47;6.5645;-0.0945
10. 40856-02QP-000;22-23;6.86;6.7498;0.1102
10. 40856-02QP-000;23-24;6.86;6.7407;0.1193
10. 40856-02QP-000;24-25;6.72;6.6285;0.0915
11. 41513-20KZ-000;21-22;6.51;6.4523;0.0577
11. 41513-20KZ-000;22-23;6.75;6.6407;0.1093
11. 41513-20KZ-000;23-24;6.67;6.6569;0.0131
11. 41513-20KZ-000;24-25;6.37;6.6074;-0.2374
13. 41386-19ZU-000;21-22;6.63;6.4536;0.1764
13. 41386-19ZU-000;22-23;6.55;6.6465;-0.0965
13. 41386-19ZU-000;23-24;6.63;6.6546;-0.0246
13. 41386-19ZU-000;24-25;6.53;6.5641;-0.0341
14. 41525-20AI-000;21-22;6.5;6.4732;0.0268
14. 41525-20AI-000;22-23;6.56;6.66;-0.1
14. 41525-20AI-000;23-24;6.59;6.6675;-0.0775
14. 41525-20AI-000;24-25;6.71;6.5962;0.1138
15. 41360-20LU-000;21-22;6.75;6.8073;-0.0573
15. 41360-20LU-000;22-23;7.19;7.0057;0.1843
15. 41360-20LU-000;23-24;6.95;7.01;-0.06
15. 41360-20LU-000;24-25;6.98;6.9333;0.0467
16. 33944-02DQ-000;21-22;6.84;6.8797;-0.0397
16. 33944-02DQ-000;22-23;7.09;7.0708;0.0192
16. 33944-02DQ-000;23-24;7.13;7.0858;0.0442
16. 33944-02DQ-000;24-25;6.97;7.025;-0.055
17. 42510-20BV-000;21-22;6.6;6.4608;0.1392
17. 42510-20BV-000;22-23;6.48;6.6537;-0.1737
17. 42510-20BV-000;23-24;6.72;6.6624;0.0576
17. 42510-20BV-000;24-25;6.47;6.5883;-0.1183
18. 31240-02CR-000;21-22;6.77;6.7458;0.0242
18. 31240-02CR-000;22-23;6.94;6.9307;0.0093
