Type data;tSchool;Schooljaar;Vak omschrijving;Aantal vak deelnemers;Totaal aantal vak deelnemers
School;07. 13554-20RM-000;17-18;Aardrijkskunde;61;148
School;07. 13554-20RM-000;17-18;Biologie;86;148
School;07. 13554-20RM-000;17-18;Duits;24;148
School;07. 13554-20RM-000;17-18;Economie;70;148
School;07. 13554-20RM-000;17-18;Engels;148;148
School;07. 13554-20RM-000;17-18;Filosofie;53;148
School;07. 13554-20RM-000;17-18;Frans;41;148
School;07. 13554-20RM-000;17-18;Geschiedenis;72;148
School;07. 13554-20RM-000;17-18;Grieks;48;148
School;07. 13554-20RM-000;17-18;Latijn;104;148
School;07. 13554-20RM-000;17-18;Lichamelijke opvoeding;148;148
School;07. 13554-20RM-000;17-18;Maatschappijleer;148;148
School;07. 13554-20RM-000;17-18;Natuur, leven en technologie;30;148
School;07. 13554-20RM-000;17-18;Natuurkunde;90;148
School;07. 13554-20RM-000;17-18;Nederlands;148;148
School;07. 13554-20RM-000;17-18;Rekentoets;148;148
School;07. 13554-20RM-000;17-18;Scheikunde;91;148
School;07. 13554-20RM-000;17-18;Spaanse taal en literatuur;41;148
School;07. 13554-20RM-000;17-18;Tekenen;14;148
School;07. 13554-20RM-000;17-18;Wiskunde A;60;148
School;07. 13554-20RM-000;17-18;Wiskunde B;85;148
School;07. 13554-20RM-000;17-18;Wiskunde C;3;148
School;07. 13554-20RM-000;18-19;Aardrijkskunde;53;151
School;07. 13554-20RM-000;18-19;Biologie;80;151
School;07. 13554-20RM-000;18-19;Duits;37;151
School;07. 13554-20RM-000;18-19;Economie;81;151
School;07. 13554-20RM-000;18-19;Engels;151;151
School;07. 13554-20RM-000;18-19;Filosofie;41;151
School;07. 13554-20RM-000;18-19;Frans;56;151
School;07. 13554-20RM-000;18-19;Geschiedenis;71;151
School;07. 13554-20RM-000;18-19;Grieks;50;151
School;07. 13554-20RM-000;18-19;Informatica;1;151
School;07. 13554-20RM-000;18-19;Latijn;105;151
School;07. 13554-20RM-000;18-19;Lichamelijke opvoeding;151;151
School;07. 13554-20RM-000;18-19;Maatschappijleer;151;151
School;07. 13554-20RM-000;18-19;Natuur, leven en technologie;34;151
School;07. 13554-20RM-000;18-19;Natuurkunde;87;151
School;07. 13554-20RM-000;18-19;Nederlands;151;151
School;07. 13554-20RM-000;18-19;Rekentoets;151;151
School;07. 13554-20RM-000;18-19;Scheikunde;89;151
School;07. 13554-20RM-000;18-19;Spaanse taal en literatuur;38;151
School;07. 13554-20RM-000;18-19;Tekenen;13;151
School;07. 13554-20RM-000;18-19;Wiskunde A;62;151
School;07. 13554-20RM-000;18-19;Wiskunde B;89;151
School;07. 13554-20RM-000;18-19;Wiskunde C;1;151
School;07. 13554-20RM-000;19-20;Aardrijkskunde;71;164
School;07. 13554-20RM-000;19-20;Biologie;86;164
School;07. 13554-20RM-000;19-20;Duits;37;164
School;07. 13554-20RM-000;19-20;Economie;93;164
School;07. 13554-20RM-000;19-20;Engels;164;164
School;07. 13554-20RM-000;19-20;Filosofie;47;164
School;07. 13554-20RM-000;19-20;Frans;53;164
School;07. 13554-20RM-000;19-20;Geschiedenis;90;164
School;07. 13554-20RM-000;19-20;Grieks;49;164
School;07. 13554-20RM-000;19-20;Latijn;119;164
School;07. 13554-20RM-000;19-20;Lichamelijke opvoeding;164;164
School;07. 13554-20RM-000;19-20;Maatschappijleer;164;164
School;07. 13554-20RM-000;19-20;Natuur, leven en technologie;31;164
School;07. 13554-20RM-000;19-20;Natuurkunde;84;164
School;07. 13554-20RM-000;19-20;Nederlands;164;164
School;07. 13554-20RM-000;19-20;Scheikunde;85;164
School;07. 13554-20RM-000;19-20;Spaanse taal en literatuur;42;164
School;07. 13554-20RM-000;19-20;Tekenen;12;164
School;07. 13554-20RM-000;19-20;Wiskunde A;77;164
School;07. 13554-20RM-000;19-20;Wiskunde B;82;164
School;07. 13554-20RM-000;19-20;Wiskunde C;5;164
School;07. 13554-20RM-000;19-20;Wiskunde D;1;164
School;07. 13554-20RM-000;20-21;Aardrijkskunde;39;140
School;07. 13554-20RM-000;20-21;Biologie;79;140
School;07. 13554-20RM-000;20-21;Duits;35;140
School;07. 13554-20RM-000;20-21;Economie;72;140
School;07. 13554-20RM-000;20-21;Engels;140;140
School;07. 13554-20RM-000;20-21;Filosofie;51;140
School;07. 13554-20RM-000;20-21;Frans;33;140
School;07. 13554-20RM-000;20-21;Geschiedenis;78;140
School;07. 13554-20RM-000;20-21;Grieks;51;140
School;07. 13554-20RM-000;20-21;Informatica;2;140
School;07. 13554-20RM-000;20-21;Latijn;93;140
School;07. 13554-20RM-000;20-21;Lichamelijke opvoeding;140;140
School;07. 13554-20RM-000;20-21;Maatschappijleer;140;140
School;07. 13554-20RM-000;20-21;Natuur, leven en technologie;30;140
School;07. 13554-20RM-000;20-21;Natuurkunde;78;140
School;07. 13554-20RM-000;20-21;Nederlands;140;140
School;07. 13554-20RM-000;20-21;Scheikunde;82;140
School;07. 13554-20RM-000;20-21;Spaanse taal en literatuur;29;140
School;07. 13554-20RM-000;20-21;Tekenen;15;140
School;07. 13554-20RM-000;20-21;Wiskunde A;59;140
School;07. 13554-20RM-000;20-21;Wiskunde B;77;140
School;07. 13554-20RM-000;20-21;Wiskunde C;4;140
School;07. 13554-20RM-000;20-21;Wiskunde D;1;140
School;07. 13554-20RM-000;21-22;Aardrijkskunde;47;125
School;07. 13554-20RM-000;21-22;Bedrijfseconomie;1;125
School;07. 13554-20RM-000;21-22;Biologie;75;125
School;07. 13554-20RM-000;21-22;Duits;22;125
School;07. 13554-20RM-000;21-22;Economie;50;125
School;07. 13554-20RM-000;21-22;Engels;124;125
School;07. 13554-20RM-000;21-22;Filosofie;37;125
School;07. 13554-20RM-000;21-22;Frans;38;125
School;07. 13554-20RM-000;21-22;Geschiedenis;65;125
School;07. 13554-20RM-000;21-22;Grieks;62;125
School;07. 13554-20RM-000;21-22;Italiaanse taal en literatuur;3;125
School;07. 13554-20RM-000;21-22;Latijn;68;125
School;07. 13554-20RM-000;21-22;Lichamelijke opvoeding;125;125
School;07. 13554-20RM-000;21-22;Maatschappijleer;125;125
School;07. 13554-20RM-000;21-22;Natuur, leven en technologie;22;125
School;07. 13554-20RM-000;21-22;Natuurkunde;76;125
School;07. 13554-20RM-000;21-22;Nederlands;124;125
School;07. 13554-20RM-000;21-22;Scheikunde;79;125
School;07. 13554-20RM-000;21-22;Spaanse taal en literatuur;34;125
School;07. 13554-20RM-000;21-22;Tekenen;17;125
School;07. 13554-20RM-000;21-22;Wiskunde A;59;125
School;07. 13554-20RM-000;21-22;Wiskunde B;62;125
School;07. 13554-20RM-000;21-22;Wiskunde C;3;125
School;07. 13554-20RM-000;21-22;Wiskunde D;1;125
School;07. 13554-20RM-000;22-23;Aardrijkskunde;47;114
School;07. 13554-20RM-000;22-23;Bedrijfseconomie;4;114
School;07. 13554-20RM-000;22-23;Biologie;69;114
School;07. 13554-20RM-000;22-23;Duits;30;114
School;07. 13554-20RM-000;22-23;Economie;43;114
School;07. 13554-20RM-000;22-23;Engels;114;114
Benchmark;SHZG;20-21;Friese taal en cultuur;1;4589
Benchmark;SHZG;18-19;Management en organisatie;339;4612
Benchmark;SHZG;19-20;Economie;2364;4960
Benchmark;SHZG;22-23;Algemene natuurwetenschappen;206;4048
Benchmark;SHZG;19-20;Engels;4912;4960
Benchmark;SHZG;19-20;Friese taal en cultuur;1;4960
Benchmark;SHZG;22-23;Frans;1100;4048
Benchmark;SHZG;18-19;Kunst (drama);144;4612
Benchmark;SHZG;22-23;Engels;4031;4048
Benchmark;SHZG;20-21;Wiskunde C;125;4589
Benchmark;SHZG;17-18;Literatuur;112;4511
Benchmark;SHZG;17-18;Wiskunde B;2602;4511
Benchmark;SHZG;19-20;Filosofie;906;4960
Benchmark;SHZG;21-22;Muziek;131;4557
Benchmark;SHZG;19-20;Muziek;172;4960
Benchmark;SHZG;17-18;Rekentoets;4511;4511
Benchmark;SHZG;20-21;Culturele en kunstzinnige vorming;111;4589
Benchmark;SHZG;22-23;Filosofie;787;4048
Benchmark;SHZG;20-21;Lichamelijke opvoeding;4535;4589
Benchmark;SHZG;18-19;Latijn;3404;4612
Benchmark;SHZG;20-21;Duits;1189;4589
Benchmark;SHZG;21-22;Wiskunde A;2048;4557
Benchmark;SHZG;17-18;Frans;1328;4511
Benchmark;SHZG;19-20;Biologie;2798;4960
Benchmark;SHZG;20-21;Natuur, leven en technologie;282;4589
Benchmark;SHZG;22-23;Kunst (algemeen);8;4048
Benchmark;SHZG;18-19;Informatica;196;4612
Benchmark;SHZG;19-20;Natuur, leven en technologie;319;4960
Benchmark;SHZG;22-23;Biologie;2311;4048
Benchmark;SHZG;21-22;Nederlands;4546;4557
Benchmark;SHZG;22-23;Lichamelijke opvoeding;4006;4048
Benchmark;SHZG;18-19;Maatschappelijke stage;140;4612
Benchmark;SHZG;17-18;Culturele en kunstzinnige vorming;84;4511
Benchmark;SHZG;21-22;Informatica;226;4557
Benchmark;SHZG;18-19;Aardrijkskunde;1550;4612
Benchmark;SHZG;20-21;Engels;4564;4589
Benchmark;SHZG;20-21;Kunst (muziek);34;4589
Benchmark;SHZG;17-18;Nederlands;4511;4511
Benchmark;SHZG;21-22;Culturele en kunstzinnige vorming;87;4557
Benchmark;SHZG;22-23;Chinese taal en cultuur;42;4048
Benchmark;SHZG;19-20;Wiskunde A;2118;4960
Benchmark;SHZG;19-20;Spaanse taal en literatuur;180;4960
Benchmark;SHZG;22-23;Maatschappijwetenschappen;166;4048
Benchmark;SHZG;20-21;Geschiedenis;2280;4589
Benchmark;SHZG;18-19;Bewegen, sport en maatschappij;15;4612
Benchmark;SHZG;22-23;Spaanse taal en literatuur;115;4048
Benchmark;SHZG;17-18;Wiskunde C;121;4511
Benchmark;SHZG;20-21;Wiskunde A;1888;4589
Benchmark;SHZG;22-23;Informatica;179;4048
Benchmark;SHZG;19-20;Levensbeschouwelijk vormingsonderwijs;498;4960
Benchmark;SHZG;21-22;Friese taal en cultuur;1;4557
Benchmark;SHZG;20-21;Maatschappijwetenschappen;195;4589
Benchmark;SHZG;18-19;Wiskunde A;1852;4612
Benchmark;SHZG;21-22;Wiskunde B;2406;4557
Benchmark;SHZG;20-21;Kunst (beeldende vormgeving);436;4589
Benchmark;SHZG;20-21;Management en organisatie;14;4589
Benchmark;SHZG;20-21;Frans;1378;4589
Benchmark;SHZG;17-18;Engels;4511;4511
Benchmark;SHZG;20-21;Scheikunde;2797;4589
Benchmark;SHZG;20-21;Onderzoek en ontwerpen (beschikking 2007);54;4589
Benchmark;SHZG;21-22;Wiskunde D;547;4557
Benchmark;SHZG;22-23;Duits;917;4048
Benchmark;SHZG;18-19;Natuur, leven en technologie;372;4612
Benchmark;SHZG;19-20;Natuurkunde;2924;4960
Benchmark;SHZG;19-20;Management en organisatie;390;4960
Benchmark;SHZG;21-22;Kunst (beeldende vormgeving);456;4557
Benchmark;SHZG;22-23;Wiskunde A;1741;4048
Benchmark;SHZG;18-19;Levensbeschouwelijk vormingsonderwijs;467;4612
Benchmark;SHZG;19-20;Wiskunde C;115;4960
Benchmark;SHZG;21-22;Engels;4538;4557
Benchmark;SHZG;19-20;Kunst (drama);132;4960
Benchmark;SHZG;21-22;Maatschappijwetenschappen;178;4557
Benchmark;SHZG;18-19;Wiskunde C;112;4612
Benchmark;SHZG;19-20;Geschiedenis;2395;4960
Benchmark;SHZG;17-18;Grieks;1290;4511
Benchmark;SHZG;19-20;Culturele en kunstzinnige vorming;103;4960
Benchmark;SHZG;17-18;Aardrijkskunde;1533;4511
Benchmark;SHZG;21-22;Natuur, leven en technologie;303;4557
Benchmark;SHZG;22-23;Russische taal en literatuur;3;4048
Benchmark;SHZG;21-22;Onderzoek en ontwerpen (beschikking 2007);32;4557
Benchmark;SHZG;18-19;Tekenen;100;4612
Benchmark;SHZG;22-23;Scheikunde;2482;4048
Benchmark;SHZG;17-18;Wiskunde D;630;4511
Benchmark;SHZG;20-21;Aardrijkskunde;1627;4589
Benchmark;SHZG;21-22;Latijn;3040;4557
Benchmark;SHZG;19-20;Kunst (beeldende vormgeving);418;4960
Benchmark;SHZG;19-20;Maatschappijwetenschappen;177;4960
Benchmark;SHZG;18-19;Russische taal en literatuur;7;4612
Benchmark;SHZG;21-22;Bewegen, sport en maatschappij;19;4557
Benchmark;SHZG;21-22;Geschiedenis;2291;4557
Benchmark;SHZG;18-19;Wiskunde B;2664;4612
Benchmark;SHZG;17-18;Kunst (drama);81;4511
Benchmark;SHZG;19-20;Wiskunde D;625;4960
Benchmark;SHZG;18-19;Duits;1432;4612
Benchmark;SHZG;22-23;Tekenen;103;4048
Benchmark;SHZG;17-18;Duits;1453;4511
Benchmark;SHZG;18-19;Algemene natuurwetenschappen;425;4612
