Type data;tSchool;Jaar;Rang;Bestemmingsinstelling;Aantal;Percentage
School;01. 13652-20AA-000;2024;1;Universiteit van Amsterdam;18;21
School;01. 13652-20AA-000;2024;2;Universiteit Leiden;11;13
School;01. 13652-20AA-000;2024;3;Vrije Universiteit Amsterdam;10;12
School;01. 13652-20AA-000;2024;4;Rijksuniversiteit Groningen;3;4
School;01. 13652-20AA-000;2024;5;Technische Universiteit Delft;3;4
School;01. 13652-20AA-000;2024;6;Universiteit Utrecht;3;4
School;01. 13652-20AA-000;2024;7;Erasmus Universiteit Rotterdam;3;4
School;01. 13652-20AA-000;2024;8;Talland College;2;2
School;01. 13652-20AA-000;2024;9;Hogeschool van Amsterdam;2;2
School;01. 13652-20AA-000;2024;10;WU;2;2
School;02. 41208-20CK-000;2024;1;Universiteit Utrecht;23;23
School;02. 41208-20CK-000;2024;2;Rijksuniversiteit Groningen;9;9
School;02. 41208-20CK-000;2024;3;Universiteit Leiden;8;8
School;02. 41208-20CK-000;2024;4;Technische Universiteit Delft;8;8
School;02. 41208-20CK-000;2024;5;Universiteit van Amsterdam;7;7
School;02. 41208-20CK-000;2024;6;Radboud Universiteit Nijmegen;6;6
School;02. 41208-20CK-000;2024;7;Techn. Universiteit Eindhoven;6;6
School;02. 41208-20CK-000;2024;8;Erasmus Universiteit Rotterdam;4;4
School;02. 41208-20CK-000;2024;9;Vrije Universiteit Amsterdam;4;4
School;02. 41208-20CK-000;2024;10;WU;3;3
School;03. 13556-21AB-000;2024;1;Universiteit van Amsterdam;17;17
School;03. 13556-21AB-000;2024;2;Universiteit Leiden;8;8
School;03. 13556-21AB-000;2024;3;Universiteit Utrecht;6;6
School;03. 13556-21AB-000;2024;4;Technische Universiteit Delft;6;6
School;03. 13556-21AB-000;2024;5;Vrije Universiteit Amsterdam;4;4
School;03. 13556-21AB-000;2024;6;Rijksuniversiteit Groningen;1;1
School;04. 40776-01ET-000;2024;1;Technische Universiteit Delft;14;14
School;04. 40776-01ET-000;2024;2;Universiteit van Amsterdam;9;9
School;04. 40776-01ET-000;2024;3;Vrije Universiteit Amsterdam;8;8
School;04. 40776-01ET-000;2024;4;Universiteit Leiden;7;7
School;04. 40776-01ET-000;2024;5;Universiteit Utrecht;5;5
School;04. 40776-01ET-000;2024;6;WU;2;2
School;04. 40776-01ET-000;2024;7;Universiteit Twente;2;2
School;04. 40776-01ET-000;2024;8;Universiteit Maastricht;2;2
School;04. 40776-01ET-000;2024;9;ROC van Amsterdam;1;1
School;04. 40776-01ET-000;2024;10;Rijksuniversiteit Groningen;1;1
School;05. 13556-21AF-000;2024;1;Universiteit van Amsterdam;21;17
School;05. 13556-21AF-000;2024;2;Vrije Universiteit Amsterdam;20;16
School;05. 13556-21AF-000;2024;3;Universiteit Leiden;16;13
School;05. 13556-21AF-000;2024;4;Technische Universiteit Delft;6;5
School;05. 13556-21AF-000;2024;5;Universiteit Utrecht;4;3
School;05. 13556-21AF-000;2024;6;Hogeschool van Amsterdam;3;2
School;05. 13556-21AF-000;2024;7;WU;2;2
School;05. 13556-21AF-000;2024;8;Techn. Universiteit Eindhoven;1;1
School;05. 13556-21AF-000;2024;9;Universiteit Twente;1;1
School;05. 13556-21AF-000;2024;10;Radboud Universiteit Nijmegen;1;1
School;06. 42818-20QU-000;2024;1;Radboud Universiteit Nijmegen;13;17
School;06. 42818-20QU-000;2024;2;Universiteit Utrecht;9;12
School;06. 42818-20QU-000;2024;3;Rijksuniversiteit Groningen;9;12
School;06. 42818-20QU-000;2024;4;Universiteit Twente;5;7
School;06. 42818-20QU-000;2024;5;Vrije Universiteit Amsterdam;5;7
