Type data;tSchool;Verzuimpercentage 2022;Verzuimpercentage 2023;Verzuimpercentage 2024;Meldfrequentie 2022;Meldfrequentie 2023;Meldfrequentie 2024;Gem ziekteduur 2022;Gem ziekteduur 2023;Gem ziekteduur 2024
School;01. 13652-20AA-000;4,6;5,5;8,4;2,9;2,5;1,7;6,4;7,2;9,2
School;02. 41208-20CK-000;6,9;5,1;6,3;2,1;1,4;1,9;10,6;12,6;5,9
School;03. 13556-21AB-000;6,7;3,3;4,6;1,7;1,6;1,4;11,7;9,3;11,0
School;04. 40776-01ET-000;6,7;7,5;6,2;2,0;1,7;1,6;10,6;11,9;6,3
School;05. 13556-21AF-000;5,9;6,2;6,5;2,6;1,3;1,3;9,7;7,3;3,3
School;06. 42818-20QU-000;9,8;7,8;7,2;1,1;1,1;1,1;8,1;9,6;13,3
School;07. 13554-20RM-000;;5,6;5,0;;0,9;0,9;;19,6;16,1
School;08. 41211-02FY-007;5,9;5,7;7,5;1,5;1,1;1,2;14,2;13,2;20,1
School;09. 42992-03AM-000;5,8;4,6;8,6;2,0;1,1;1,2;15,6;16,7;17,2
School;10. 40856-02QP-000;1,4;2,8;2,9;0,8;0,8;1,1;8,8;11,9;15,2
School;11. 41513-20KZ-000;3,4;3,8;4,3;2,2;1,3;1,6;10,3;7,5;9,6
School;13. 41386-19ZU-000;7,4;3,8;3,0;1,2;1,1;1,4;29,5;12,7;6,7
School;14. 41525-20AI-000;6,2;5,2;;1,5;1,6;;10,9;18,6;
School;15. 41360-20LU-000;9,2;5,8;3,6;1,3;1,4;1,5;14,7;12,4;9,9
School;16. 33944-02DQ-000;6,7;4,3;5,7;1,3;2,0;1,0;20,8;9,5;22,6
School;17. 42510-20BV-000;4,0;;4,9;2,0;;0,9;7,2;;16,8
School;18. 31240-02CR-000;4,2;4,8;6,6;2,5;2,3;2,2;24,2;11,8;16,3
School;19. 13556-20QY-000;8,7;6,3;3,9;1,9;1,3;1,3;12,1;13,7;15,0
School;21. 13556-02DW-000;5,6;3,5;4,3;1,8;1,5;1,5;13,6;12,9;13,0
School;22. 13556-20AJ-000;3,7;3,1;2,1;2,6;1,7;1,5;7,3;7,6;4,3
School;23. 13749-20DD-000;6,5;3,6;3,6;3,4;1,7;1,6;14,7;16,1;8,8
School;25. 41347-14WI-000;4,5;5,3;7,0;1,3;1,4;1,1;37,8;8,9;24,0
School;26. 13603-20DL-002;;8,0;5,9;;1,2;1,1;;17,0;11,2
School;27. 42505-20DP-000;6,5;4,3;6,1;1,9;1,6;1,6;16,4;5,9;7,1
School;27. 42505-30GD-000;9,1;9,8;7,1;1,9;1,5;1,6;15,9;30,1;17,8
School;28. 41211-17JY-000;4,4;4,9;4,3;1,2;1,0;1,0;11,8;18,0;12,3
School;29. 41285-20CI-000;6,1;6,0;3,6;1,7;1,3;1,0;6,9;17,7;14,5
School;30. 42992-02QO-000;11,3;7,2;5,7;1,6;1,5;0,9;7,4;16,7;9,2
School;31. 41775-15SC-000;4,4;4,9;2,1;2,2;1,6;1,5;5,0;15,8;6,8
School;32. 20151-14QT-000;7,9;6,2;7,4;3,5;1,8;1,3;10,4;11,0;15,3
School;33. 41568-20DC-000;3,5;8,1;5,1;1,4;0,9;0,9;8,6;11,0;12,8
School;35. 40094-16PA-000;5,9;5,1;6,1;1,7;1,4;1,2;8,4;10,8;19,4
School;36. 41475-15JM-000;3,6;4,3;5,6;2,1;1,7;1,6;6,6;4,1;13,3
School;37. 13556-20DG-000;10,4;4,3;5,9;1,9;1,5;1,3;10,0;16,4;9,6
School;38. 42623-20CF-000;5,9;5,5;8,7;1,7;1,5;1,3;9,2;14,0;6,8
School;41. 42620-01FP-004;7,0;7,5;9,2;3,1;2,3;1,5;11,8;14,5;27,0
School;42. 40586-30GC-000;9,8;8,5;9,4;3,4;1,7;1,4;9,6;10,0;15,7
School;43. 42621-14RF-006;8,6;9,8;7,5;2,2;1,8;1,9;9,5;11,6;11,7
School;44. 20151-31RY-000;2,7;2,4;2,3;1,9;1,3;1,2;7,7;6,1;6,5
School;45. 99048-19HV-000;;7,7;5,3;;1,2;1,1;;14,9;13,6
School;46. 41298-02VO-000;7,1;;;1,9;;;10,6;;
